name,count,mean,std,min,25%,50%,75%,max
CyclomaticComplexity,20620,1.7988845780795344,2.463379140257302,1.0,1.0,1.0,2.0,73.0
DepthOfNesting,20620,0.9561590688651794,2.8210646452167967,0.0,0.0,0.0,0.0,30.0
LinesOfCode,20620,5.788312318137731,12.047457331409163,1.0,1.0,2.0,6.0,388.0
SourceLinesOfCode,20620,5.262124151309409,10.629217823708027,1.0,1.0,2.0,6.0,377.0
CommentLinesOfCode,20620,0.2552376333656644,1.597103268230062,0.0,0.0,0.0,0.0,148.0
CommentDensity,20620,0.01609994187472501,0.06405567393680259,0.0,0.0,0.0,0.0,0.8571428571428571
OutDegree,20620,4.055092143549952,8.78494156932726,0.0,1.0,2.0,4.0,263.0
OutDegreeDistinct,20620,3.0173132880698352,4.83561092228441,0.0,1.0,2.0,4.0,98.0
PatternSize,20620,1.7231813773035887,7.441264649177973,0.0,0.0,0.0,0.0,254.0
NumberOfPatternVariables,20620,0.29500484966052376,1.4132613362759654,0.0,0.0,0.0,0.0,48.0
ParadigmEntropyFraction,20620,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
ParadigmGiniFraction,20620,0.6403976721629486,0.4798954702880974,0.0,0.0,1.0,1.0,1.0
