name,count,mean,std,min,25%,50%,75%,max
CyclomaticComplexity,3452,1.7343568945538819,2.0728128839573854,1.0,1.0,1.0,1.0,30.0
DepthOfNesting,3452,1.1897450753186558,3.226983315745559,0.0,0.0,0.0,0.0,36.0
LinesOfCode,3452,5.8539976825028965,10.40167517146362,1.0,1.0,2.0,7.0,156.0
SourceLinesOfCode,3452,5.489860950173813,9.179756827915625,1.0,1.0,2.0,6.0,126.0
CommentLinesOfCode,3452,0.13412514484356894,0.8506053306635749,0.0,0.0,0.0,0.0,25.0
CommentDensity,3452,0.006974118636179128,0.036857175806345,0.0,0.0,0.0,0.0,0.7142857142857143
OutDegree,3452,4.684530706836616,8.084662383025451,0.0,1.0,2.0,5.0,137.0
OutDegreeDistinct,3452,3.1628041714947854,3.9232163833982914,0.0,1.0,2.0,4.0,45.0
PatternSize,3452,1.9214947856315179,7.012009507702304,0.0,0.0,0.0,0.0,147.0
NumberOfPatternVariables,3452,0.3629779837775203,1.4020918869046644,0.0,0.0,0.0,0.0,34.0
ParadigmEntropyFraction,3452,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
ParadigmGiniFraction,3452,0.5811123986095017,0.4934483915202995,0.0,0.0,1.0,1.0,1.0
