name,count,mean,std,min,25%,50%,75%,max
CyclomaticComplexity,13302,2.170199969929334,3.1944084491588343,1.0,1.0,1.0,3.0,88.0
DepthOfNesting,13302,2.0643512253796423,4.040979798492956,0.0,0.0,0.0,2.0,57.0
LinesOfCode,13302,7.049766952337994,16.567570846382388,1.0,2.0,2.0,7.0,803.0
SourceLinesOfCode,13302,6.461058487445497,14.638514043397057,1.0,2.0,2.0,7.0,780.0
CommentLinesOfCode,13302,0.19560968275447302,1.4195998679521016,0.0,0.0,0.0,0.0,41.0
CommentDensity,13302,0.00731169558822677,0.0376052292198893,0.0,0.0,0.0,0.0,0.5526315789473685
OutDegree,13302,6.766426101338145,13.591291336836338,0.0,1.0,3.0,8.0,533.0
OutDegreeDistinct,13302,3.8355134566230644,4.841197470785404,0.0,1.0,2.0,5.0,144.0
PatternSize,13302,3.990076680198466,12.371601101114647,0.0,0.0,0.0,3.0,347.0
NumberOfPatternVariables,13302,0.8140881070515712,2.371282082553469,0.0,0.0,0.0,0.0,59.0
ParadigmEntropyFraction,13302,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
ParadigmGiniFraction,13302,0.5295444294091114,0.49914512583568404,0.0,0.0,1.0,1.0,1.0
