name,count,mean,std,min,25%,50%,75%,max
CyclomaticComplexity,82753,1.589755054197431,1.9624508134634353,1.0,1.0,1.0,1.0,86.0
DepthOfNesting,82753,1.1792321728517394,3.6492485579731566,0.0,0.0,0.0,0.0,75.0
LinesOfCode,82753,7.58645608014211,15.86507852481939,1.0,1.0,3.0,9.0,959.0
SourceLinesOfCode,82753,7.343479994682972,15.17591202653373,1.0,1.0,3.0,8.0,959.0
CommentLinesOfCode,82753,0.06071078994115017,1.0207094582371024,0.0,0.0,0.0,0.0,235.0
CommentDensity,82753,0.003753275581741305,0.031255965809328635,0.0,0.0,0.0,0.0,0.72
OutDegree,82753,8.488949041122376,18.200623347954824,0.0,2.0,4.0,9.0,632.0
OutDegreeDistinct,82753,2.4285041025702996,2.241425950270308,0.0,1.0,2.0,3.0,83.0
PatternSize,82753,1.8471233671286842,8.914644603690471,0.0,0.0,0.0,0.0,435.0
NumberOfPatternVariables,82753,0.3537031890082535,1.4367257980147172,0.0,0.0,0.0,0.0,71.0
ParadigmEntropyFraction,82753,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
ParadigmGiniFraction,82753,0.7369642188198615,0.440284341665685,0.0,0.0,1.0,1.0,1.0
