name,count,mean,std,min,25%,50%,75%,max
FanOut,1721,12.31958163858222,21.010853093861954,0.0,4.0,6.0,13.0,337.0
FanIn,1721,5.83672283556072,13.052423795156473,0.0,1.0,3.0,6.0,203.0
CouplingBetweenObjects,1721,17.707147007553747,26.167221663528988,0.0,6.0,10.0,18.0,354.0
DepthOfInheritance,1721,1.6687972109238816,1.7262027169191891,0.0,0.0,1.0,2.0,8.0
LackOfCohesionInMethods,1721,0.999418942475305,4.8136795998573145,0.0,0.0,0.0,1.0,169.0
LinesOfCode,1721,24.649041255084253,70.85339441786657,1.0,1.0,5.0,17.0,1255.0
SourceLinesOfCode,1721,18.952353282975015,56.56368140469523,1.0,2.0,5.0,13.0,1116.0
CommentLinesOfCode,1721,5.447995351539802,18.676555313086624,0.0,0.0,0.0,2.0,246.0
CommentDensity,1721,0.09108733215932745,0.16728420472165004,0.0,0.0,0.0,0.125,0.912280701754386
NumberOfChildren,1721,0.821615339918652,3.274481665830119,0.0,0.0,0.0,0.0,76.0
ResponseForClass,1721,8.814642649622312,21.02492804795392,0.0,0.0,2.0,8.0,268.0
WeightedMethodCount,1721,4.270191748983149,13.995210161452079,0.0,0.0,1.0,3.0,194.0
CyclomaticComplexity,1721,1.7873329459616503,4.5346318443819325,0.0,0.0,1.0,1.0,86.0
DepthOfNesting,1721,1.4811156304474142,3.7959308275662624,0.0,0.0,0.0,0.0,24.0
OutDegree,1721,6.612434631028472,46.18381180886911,0.0,0.0,0.0,4.0,1759.0
OutDegreeDistinct,1721,2.861708309122603,6.256581956440508,0.0,0.0,0.0,3.0,59.0
PatternSize,1721,4.9018012783265545,24.767880602590896,0.0,0.0,0.0,0.0,662.0
NumberOfPatternVariables,1721,1.0563625798954097,5.20048817195065,0.0,0.0,0.0,0.0,101.0
ParadigmEntropyFraction,1721,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
ParadigmGiniFraction,1721,0.4875072632190587,0.49998918951057775,0.0,0.0,0.0,1.0,1.0
