name,count,mean,std,min,25%,50%,75%,max
FanOut,2264,16.386042402826856,44.646906561933676,0.0,4.0,8.0,16.0,1040.0
FanIn,2264,13.27429328621908,50.53262341405812,0.0,0.0,2.0,6.0,573.0
CouplingBetweenObjects,2264,28.769434628975265,72.34145858720426,0.0,7.0,12.0,24.0,1494.0
DepthOfInheritance,2264,1.1174911660777385,1.3769690998065465,0.0,0.0,1.0,2.0,10.0
LackOfCohesionInMethods,2264,1.4085689045936396,3.836994248398189,0.0,0.0,0.0,1.0,100.0
LinesOfCode,2264,48.34363957597173,234.6302783065162,1.0,2.0,7.0,25.0,4022.0
SourceLinesOfCode,2264,39.025618374558306,199.84135611933263,1.0,2.0,7.0,22.0,4008.0
CommentLinesOfCode,2264,8.165194346289752,57.92829392441082,0.0,0.0,0.0,0.0,1326.0
CommentDensity,2264,0.05665465914759294,0.14755206626184778,0.0,0.0,0.0,0.0,0.828125
NumberOfChildren,2264,0.8507067137809188,2.709987001618792,0.0,0.0,0.0,0.0,28.0
ResponseForClass,2264,12.532243816254416,37.02545759381748,0.0,0.0,3.0,11.0,702.0
WeightedMethodCount,2264,6.571996466431095,25.75928085112813,0.0,0.0,1.0,4.0,505.0
CyclomaticComplexity,2264,2.439487632508834,14.298591437749632,0.0,0.0,1.0,2.0,342.0
DepthOfNesting,2264,1.709363957597173,5.600910596223865,0.0,0.0,0.0,0.0,97.0
OutDegree,2264,21.751766784452297,291.480583986124,0.0,0.0,1.0,6.0,6754.0
OutDegreeDistinct,2264,3.683303886925795,7.75577070194461,0.0,0.0,1.0,4.0,144.0
PatternSize,2264,5.1409010600706715,40.36028667958163,0.0,0.0,0.0,0.0,876.0
NumberOfPatternVariables,2264,1.088339222614841,8.572230395980245,0.0,0.0,0.0,0.0,182.0
ParadigmEntropyFraction,2264,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
ParadigmGiniFraction,2264,0.43197879858657245,0.49546094134883284,0.0,0.0,0.0,1.0,1.0
