name,count,mean,std,min,25%,50%,75%,max
FanOut,8846,21.558670585575403,78.74028912640004,0.0,4.0,7.0,13.0,1984.0
FanIn,8846,10.970269048157359,43.850598377211384,0.0,1.0,3.0,5.0,562.0
CouplingBetweenObjects,8846,31.208229708342753,103.8526875766256,0.0,7.0,10.0,19.0,2006.0
DepthOfInheritance,8846,1.4780691838118925,1.7950766605523178,0.0,0.0,1.0,2.0,10.0
LackOfCohesionInMethods,8846,1.7288039791996384,7.0584925995541825,0.0,0.0,1.0,1.0,122.0
LinesOfCode,8846,57.62434998869546,290.720731009443,1.0,3.0,6.0,13.0,4022.0
SourceLinesOfCode,8846,40.17318562061949,190.0185170470501,1.0,3.0,6.0,12.0,4008.0
CommentLinesOfCode,8846,16.75830884015374,111.35030472973823,0.0,0.0,0.0,0.0,1557.0
CommentDensity,8846,0.04426011274759521,0.131189247206933,0.0,0.0,0.0,0.0,0.828125
NumberOfChildren,8846,1.246552113949808,4.225862789864562,0.0,0.0,0.0,0.0,39.0
ResponseForClass,8846,14.571783857110558,56.278279661886245,0.0,0.0,2.0,7.0,708.0
WeightedMethodCount,8846,8.298100836536287,38.9084224463481,0.0,0.0,1.0,3.0,550.0
CyclomaticComplexity,8846,1.8624236943251187,7.8983620575605125,0.0,0.0,1.0,1.0,342.0
DepthOfNesting,8846,1.6676463938503279,5.480061814420566,0.0,0.0,0.0,0.0,74.0
OutDegree,8846,10.738751978295275,148.68504515207107,0.0,0.0,1.0,4.0,6754.0
OutDegreeDistinct,8846,3.348971286457156,6.792605010659264,0.0,0.0,1.0,3.0,144.0
PatternSize,8846,4.033348406059236,24.369895806486735,0.0,0.0,0.0,0.0,876.0
NumberOfPatternVariables,8846,0.9138593714673299,5.316807408790056,0.0,0.0,0.0,0.0,182.0
ParadigmEntropyFraction,8846,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
ParadigmGiniFraction,8846,0.4372597784309292,0.4960760870255784,0.0,0.0,0.0,1.0,1.0
