name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CyclomaticComplexity,3855,67,3788,1.7380025940337225,100.0
DepthOfNesting,715,37,678,5.174825174825175,55.223880597014926
LinesOfCode,3855,67,3788,1.7380025940337225,100.0
SourceLinesOfCode,3855,67,3788,1.7380025940337225,100.0
CommentLinesOfCode,424,32,392,7.547169811320755,47.76119402985074
CommentDensity,424,32,392,7.547169811320755,47.76119402985074
OutDegree,2805,64,2741,2.2816399286987523,95.52238805970148
OutDegreeDistinct,2805,64,2741,2.2816399286987523,95.52238805970148
PatternSize,715,37,678,5.174825174825175,55.223880597014926
NumberOfPatternVariables,647,34,613,5.255023183925812,50.74626865671642
ParadigmGiniFraction,2578,32,2546,1.2412723041117144,47.76119402985074
