name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CyclomaticComplexity,3452,478,2974,13.84704519119351,100.0
DepthOfNesting,515,139,376,26.990291262135923,29.079497907949794
LinesOfCode,3452,478,2974,13.84704519119351,100.0
SourceLinesOfCode,3452,478,2974,13.84704519119351,100.0
CommentLinesOfCode,192,66,126,34.375,13.807531380753138
CommentDensity,192,66,126,34.375,13.807531380753138
OutDegree,2960,463,2497,15.641891891891893,96.86192468619247
OutDegreeDistinct,2960,463,2497,15.641891891891893,96.86192468619247
PatternSize,515,139,376,26.990291262135923,29.079497907949794
NumberOfPatternVariables,452,119,333,26.327433628318587,24.89539748953975
ParadigmGiniFraction,2006,279,1727,13.90827517447657,58.36820083682008
