name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CyclomaticComplexity,10093,1386,8707,13.73228970573665,100.0
DepthOfNesting,1905,482,1423,25.30183727034121,34.77633477633478
LinesOfCode,10093,1386,8707,13.73228970573665,100.0
SourceLinesOfCode,10093,1386,8707,13.73228970573665,100.0
CommentLinesOfCode,756,233,523,30.82010582010582,16.81096681096681
CommentDensity,756,233,523,30.82010582010582,16.81096681096681
OutDegree,8860,1317,7543,14.864559819413092,95.02164502164501
OutDegreeDistinct,8860,1317,7543,14.864559819413092,95.02164502164501
PatternSize,1905,482,1423,25.30183727034121,34.77633477633478
NumberOfPatternVariables,1735,444,1291,25.590778097982707,32.03463203463203
ParadigmGiniFraction,5680,743,4937,13.080985915492956,53.6075036075036
