name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CyclomaticComplexity,3933,216,3717,5.491990846681922,100.0
DepthOfNesting,1238,122,1116,9.8546042003231,56.481481481481474
LinesOfCode,3933,216,3717,5.491990846681922,100.0
SourceLinesOfCode,3933,216,3717,5.491990846681922,100.0
CommentLinesOfCode,580,90,490,15.517241379310345,41.66666666666667
CommentDensity,580,90,490,15.517241379310345,41.66666666666667
OutDegree,3774,213,3561,5.643879173290938,98.61111111111111
OutDegreeDistinct,3774,213,3561,5.643879173290938,98.61111111111111
PatternSize,1238,122,1116,9.8546042003231,56.481481481481474
NumberOfPatternVariables,1004,117,887,11.653386454183266,54.166666666666664
ParadigmGiniFraction,2297,95,2202,4.13582934262081,43.98148148148148
