name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CyclomaticComplexity,4293,7,4286,0.1630561378989052,100.0
DepthOfNesting,463,5,458,1.079913606911447,71.42857142857143
LinesOfCode,4293,7,4286,0.1630561378989052,100.0
SourceLinesOfCode,4293,7,4286,0.1630561378989052,100.0
CommentLinesOfCode,431,4,427,0.9280742459396751,57.14285714285714
CommentDensity,431,4,427,0.9280742459396751,57.14285714285714
OutDegree,3815,6,3809,0.15727391874180865,85.71428571428571
OutDegreeDistinct,3815,6,3809,0.15727391874180865,85.71428571428571
PatternSize,463,5,458,1.079913606911447,71.42857142857143
NumberOfPatternVariables,380,4,376,1.0526315789473684,57.14285714285714
ParadigmGiniFraction,3530,7,3523,0.19830028328611898,100.0
