name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FanOut,2129,298,1831,13.997181775481446,98.67549668874173
FanIn,1936,264,1672,13.636363636363635,87.41721854304636
CouplingBetweenObjects,2202,298,1904,13.533151680290645,98.67549668874173
DepthOfInheritance,1170,145,1025,12.393162393162394,48.01324503311258
LackOfCohesionInMethods,916,196,720,21.397379912663755,64.90066225165563
LinesOfCode,2395,302,2093,12.609603340292274,100.0
SourceLinesOfCode,2395,302,2093,12.609603340292274,100.0
CommentLinesOfCode,538,181,357,33.64312267657992,59.93377483443708
CommentDensity,538,181,357,33.64312267657992,59.93377483443708
NumberOfChildren,310,37,273,11.935483870967742,12.251655629139073
ResponseForClass,1497,278,1219,18.570474281897127,92.05298013245033
WeightedMethodCount,1404,261,1143,18.58974358974359,86.42384105960265
CyclomaticComplexity,1406,261,1145,18.56330014224751,86.42384105960265
DepthOfNesting,609,188,421,30.870279146141215,62.251655629139066
OutDegree,1254,255,999,20.334928229665074,84.43708609271523
OutDegreeDistinct,1254,255,999,20.334928229665074,84.43708609271523
PatternSize,609,188,421,30.870279146141215,62.251655629139066
NumberOfPatternVariables,545,180,365,33.02752293577982,59.60264900662252
ParadigmGiniFraction,1286,245,1041,19.05132192846034,81.12582781456953
