name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FanOut,8380,587,7793,7.004773269689737,98.16053511705685
FanIn,6762,438,6324,6.4773735581189,73.24414715719062
CouplingBetweenObjects,8833,597,8236,6.758745613042001,99.83277591973244
DepthOfInheritance,5838,393,5445,6.731757451181912,65.7190635451505
LackOfCohesionInMethods,5131,367,4764,7.15260183200156,61.37123745819398
LinesOfCode,8846,598,8248,6.760117567262039,100.0
SourceLinesOfCode,8846,598,8248,6.760117567262039,100.0
CommentLinesOfCode,1198,313,885,26.12687813021703,52.34113712374582
CommentDensity,1198,313,885,26.12687813021703,52.34113712374582
NumberOfChildren,1579,220,1359,13.932868904369855,36.78929765886287
ResponseForClass,6195,516,5679,8.329297820823244,86.2876254180602
WeightedMethodCount,6004,508,5496,8.461025982678215,84.94983277591973
CyclomaticComplexity,5985,510,5475,8.521303258145362,85.28428093645485
DepthOfNesting,1363,333,1030,24.43140132061629,55.68561872909699
OutDegree,5128,499,4629,9.730889235569423,83.4448160535117
OutDegreeDistinct,5128,499,4629,9.730889235569423,83.4448160535117
PatternSize,1363,333,1030,24.43140132061629,55.68561872909699
NumberOfPatternVariables,1119,317,802,28.328865058087576,53.01003344481605
ParadigmGiniFraction,3868,444,3424,11.478800413650465,74.24749163879598
