name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FanOut,1724,367,1357,21.2877030162413,98.1283422459893
FanIn,1535,348,1187,22.671009771986974,93.04812834224599
CouplingBetweenObjects,1762,370,1392,20.998864926220204,98.93048128342245
DepthOfInheritance,996,197,799,19.779116465863453,52.67379679144385
LackOfCohesionInMethods,732,208,524,28.415300546448087,55.61497326203209
LinesOfCode,1797,374,1423,20.812465219810797,100.0
SourceLinesOfCode,1797,374,1423,20.812465219810797,100.0
CommentLinesOfCode,246,104,142,42.27642276422765,27.807486631016044
CommentDensity,246,104,142,42.27642276422765,27.807486631016044
NumberOfChildren,293,59,234,20.13651877133106,15.775401069518717
ResponseForClass,1186,312,874,26.30691399662732,83.42245989304813
WeightedMethodCount,1021,291,730,28.50146914789422,77.80748663101605
CyclomaticComplexity,1022,292,730,28.57142857142857,78.07486631016043
DepthOfNesting,276,129,147,46.73913043478261,34.49197860962567
OutDegree,927,277,650,29.88133764832794,74.06417112299465
OutDegreeDistinct,927,277,650,29.88133764832794,74.06417112299465
PatternSize,276,129,147,46.73913043478261,34.49197860962567
NumberOfPatternVariables,245,122,123,49.795918367346935,32.62032085561498
ParadigmGiniFraction,801,243,558,30.337078651685395,64.97326203208557
