name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FanOut,1743,134,1609,7.687894434882386,100.0
FanIn,1459,124,1335,8.498971898560658,92.53731343283582
CouplingBetweenObjects,1798,134,1664,7.452725250278086,100.0
DepthOfInheritance,1118,35,1083,3.1305903398926653,26.119402985074625
LackOfCohesionInMethods,576,28,548,4.861111111111112,20.8955223880597
LinesOfCode,1814,134,1680,7.386990077177508,100.0
SourceLinesOfCode,1814,134,1680,7.386990077177508,100.0
CommentLinesOfCode,456,94,362,20.614035087719298,70.1492537313433
CommentDensity,456,94,362,20.614035087719298,70.1492537313433
NumberOfChildren,278,18,260,6.474820143884892,13.432835820895523
ResponseForClass,1179,118,1061,10.008481764206955,88.05970149253731
WeightedMethodCount,1066,97,969,9.099437148217635,72.38805970149254
CyclomaticComplexity,1067,97,970,9.090909090909092,72.38805970149254
DepthOfNesting,327,79,248,24.159021406727827,58.95522388059702
OutDegree,974,96,878,9.856262833675565,71.64179104477611
OutDegreeDistinct,974,96,878,9.856262833675565,71.64179104477611
PatternSize,327,79,248,24.159021406727827,58.95522388059702
NumberOfPatternVariables,306,77,229,25.163398692810457,57.46268656716418
ParadigmGiniFraction,917,78,839,8.505997818974919,58.2089552238806
