name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FanOut,1589,6,1583,0.3775959723096287,100.0
FanIn,1380,6,1374,0.43478260869565216,100.0
CouplingBetweenObjects,1597,6,1591,0.37570444583594237,100.0
DepthOfInheritance,1243,5,1238,0.4022526146419952,83.33333333333334
LackOfCohesionInMethods,716,4,712,0.5586592178770949,66.66666666666666
LinesOfCode,1598,6,1592,0.37546933667083854,100.0
SourceLinesOfCode,1598,6,1592,0.37546933667083854,100.0
CommentLinesOfCode,441,4,437,0.9070294784580499,66.66666666666666
CommentDensity,441,4,437,0.9070294784580499,66.66666666666666
NumberOfChildren,293,1,292,0.3412969283276451,16.666666666666664
ResponseForClass,899,6,893,0.6674082313681869,100.0
WeightedMethodCount,870,5,865,0.5747126436781609,83.33333333333334
CyclomaticComplexity,870,5,865,0.5747126436781609,83.33333333333334
DepthOfNesting,243,4,239,1.646090534979424,66.66666666666666
OutDegree,803,5,798,0.62266500622665,83.33333333333334
OutDegreeDistinct,803,5,798,0.62266500622665,83.33333333333334
PatternSize,243,4,239,1.646090534979424,66.66666666666666
NumberOfPatternVariables,218,3,215,1.3761467889908259,50.0
ParadigmGiniFraction,797,5,792,0.6273525721455459,83.33333333333334
