name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FanOut,1587,5,1582,0.315059861373661,100.0
FanIn,1378,5,1373,0.36284470246734396,100.0
CouplingBetweenObjects,1595,5,1590,0.3134796238244514,100.0
DepthOfInheritance,1243,4,1239,0.32180209171359614,80.0
LackOfCohesionInMethods,714,4,710,0.5602240896358543,80.0
LinesOfCode,1596,5,1591,0.3132832080200501,100.0
SourceLinesOfCode,1596,5,1591,0.3132832080200501,100.0
CommentLinesOfCode,439,4,435,0.9111617312072893,80.0
CommentDensity,439,4,435,0.9111617312072893,80.0
NumberOfChildren,291,1,290,0.3436426116838488,20.0
ResponseForClass,897,5,892,0.5574136008918618,100.0
WeightedMethodCount,868,5,863,0.5760368663594471,100.0
CyclomaticComplexity,868,5,863,0.5760368663594471,100.0
DepthOfNesting,243,4,239,1.646090534979424,80.0
OutDegree,801,5,796,0.6242197253433208,100.0
OutDegreeDistinct,801,5,796,0.6242197253433208,100.0
PatternSize,243,4,239,1.646090534979424,80.0
NumberOfPatternVariables,218,3,215,1.3761467889908259,60.0
ParadigmGiniFraction,795,5,790,0.628930817610063,100.0
