name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FanOut,1890,84,1806,4.444444444444445,100.0
FanIn,1718,83,1635,4.831199068684517,98.80952380952381
CouplingBetweenObjects,1962,84,1878,4.281345565749235,100.0
DepthOfInheritance,1278,44,1234,3.4428794992175273,52.38095238095239
LackOfCohesionInMethods,726,39,687,5.371900826446281,46.42857142857143
LinesOfCode,1964,84,1880,4.276985743380855,100.0
SourceLinesOfCode,1964,84,1880,4.276985743380855,100.0
CommentLinesOfCode,665,73,592,10.977443609022556,86.90476190476191
CommentDensity,665,73,592,10.977443609022556,86.90476190476191
NumberOfChildren,393,27,366,6.870229007633588,32.142857142857146
ResponseForClass,1287,78,1209,6.0606060606060606,92.85714285714286
WeightedMethodCount,1168,72,1096,6.164383561643835,85.71428571428571
CyclomaticComplexity,1168,72,1096,6.164383561643835,85.71428571428571
DepthOfNesting,368,55,313,14.945652173913043,65.47619047619048
OutDegree,950,71,879,7.473684210526316,84.52380952380952
OutDegreeDistinct,950,71,879,7.473684210526316,84.52380952380952
PatternSize,368,55,313,14.945652173913043,65.47619047619048
NumberOfPatternVariables,342,55,287,16.08187134502924,65.47619047619048
ParadigmGiniFraction,988,63,925,6.376518218623482,75.0
