name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FanOut,2290,123,2167,5.37117903930131,99.19354838709677
FanIn,1921,104,1817,5.413846954711088,83.87096774193549
CouplingBetweenObjects,2388,123,2265,5.150753768844221,99.19354838709677
DepthOfInheritance,1441,64,1377,4.441360166551006,51.61290322580645
LackOfCohesionInMethods,1366,87,1279,6.36896046852123,70.16129032258065
LinesOfCode,2430,124,2306,5.102880658436214,100.0
SourceLinesOfCode,2430,124,2306,5.102880658436214,100.0
CommentLinesOfCode,593,82,511,13.827993254637436,66.12903225806451
CommentDensity,593,82,511,13.827993254637436,66.12903225806451
NumberOfChildren,447,34,413,7.606263982102908,27.419354838709676
ResponseForClass,1732,123,1609,7.1016166281755195,99.19354838709677
WeightedMethodCount,1677,122,1555,7.2748956469886705,98.38709677419355
CyclomaticComplexity,1678,122,1556,7.270560190703218,98.38709677419355
DepthOfNesting,582,82,500,14.0893470790378,66.12903225806451
OutDegree,1421,112,1309,7.8817733990147785,90.32258064516128
OutDegreeDistinct,1421,112,1309,7.8817733990147785,90.32258064516128
PatternSize,582,82,500,14.0893470790378,66.12903225806451
NumberOfPatternVariables,496,74,422,14.919354838709678,59.67741935483871
ParadigmGiniFraction,1364,102,1262,7.47800586510264,82.25806451612904
