name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FanOut,3801,779,3022,20.494606682451984,99.23566878980891
FanIn,3556,682,2874,19.17885264341957,86.87898089171975
CouplingBetweenObjects,3966,779,3187,19.641956631366618,99.23566878980891
DepthOfInheritance,1682,356,1326,21.16527942925089,45.35031847133758
LackOfCohesionInMethods,2010,543,1467,27.01492537313433,69.17197452229298
LinesOfCode,4231,785,3446,18.553533443630347,100.0
SourceLinesOfCode,4231,785,3446,18.553533443630347,100.0
CommentLinesOfCode,1119,524,595,46.82752457551385,66.7515923566879
CommentDensity,1119,524,595,46.82752457551385,66.7515923566879
NumberOfChildren,380,68,312,17.894736842105264,8.662420382165605
ResponseForClass,3020,738,2282,24.437086092715234,94.01273885350318
WeightedMethodCount,2900,693,2207,23.896551724137932,88.28025477707007
CyclomaticComplexity,2902,693,2209,23.880082701585113,88.28025477707007
DepthOfNesting,1172,483,689,41.21160409556314,61.52866242038216
OutDegree,2711,675,2036,24.898561416451496,85.98726114649682
OutDegreeDistinct,2711,675,2036,24.898561416451496,85.98726114649682
PatternSize,1172,483,689,41.21160409556314,61.52866242038216
NumberOfPatternVariables,1029,456,573,44.31486880466473,58.089171974522294
ParadigmGiniFraction,2629,641,1988,24.381894256371243,81.65605095541402
