name,tn,fp,fn,tp,r2,precision,recall,mcc
CyclomaticComplexity,2352,622,266,212,-1.156328346365854,25.41966426858513,44.35146443514644,0.1891107508822692
DepthOfNesting,2604,370,343,135,-0.7313762510797905,26.732673267326735,28.24267782426778,0.154435653344745
LinesOfCode,2434,540,272,206,-0.9717777221273352,27.61394101876676,43.09623430962343,0.20928008374137766
SourceLinesOfCode,2357,617,261,217,-1.132045369492365,26.019184652278177,45.39748953974895,0.1989076472608003
CommentLinesOfCode,2848,126,412,66,-0.30642415579372684,34.375,13.807531380753138,0.14423606112035248
CommentDensity,2848,126,412,66,-0.30642415579372684,34.375,13.807531380753138,0.14423606112035248
OutDegree,2398,576,272,206,-1.0591964388718966,26.342710997442452,43.09623430962343,0.1957913514313223
OutDegreeDistinct,2204,770,228,250,-1.423441091974237,24.509803921568626,52.30125523012552,0.19992828455372444
PatternSize,2608,366,339,139,-0.7119498695809989,27.524752475247528,29.079497907949794,0.16392880876202778
NumberOfPatternVariables,2641,333,359,119,-0.680381999645463,26.327433628318587,24.89539748953975,0.14025651677737244
ParadigmEntropyFraction,2974,0,478,0,-0.16072629455279075,0.0,0.0,0.0
ParadigmGiniFraction,1470,1504,270,208,-3.3078000973570107,12.149532710280374,43.51464435146444,-0.04875022099371422
