name,tn,fp,fn,tp,r2,precision,recall,mcc
CyclomaticComplexity,867,236,56,60,-1.7819739269078068,20.27027027027027,51.724137931034484,0.20754536503910906
DepthOfNesting,919,184,66,50,-1.3818269922155877,21.367521367521366,43.103448275862064,0.1968570589033259
LinesOfCode,908,195,43,73,-1.2674992965892398,27.238805970149254,62.93103448275862,0.32062446410904666
SourceLinesOfCode,903,200,45,71,-1.334190452371276,26.199261992619927,61.206896551724135,0.3039824332004958
CommentLinesOfCode,1038,65,75,41,-0.3338231156407292,38.67924528301887,35.3448275862069,0.30671018976873626
CommentDensity,1038,65,77,39,-0.3528777315784539,37.5,33.62068965517241,0.29125677326479377
OutDegree,940,163,47,69,-1.0007346734610936,29.74137931034483,59.48275862068966,0.334171275671242
OutDegreeDistinct,894,209,67,49,-1.629536999406009,18.992248062015506,42.241379310344826,0.16732918090780025
PatternSize,942,161,70,46,-1.200808140807203,22.22222222222222,39.6551724137931,0.19583866049256193
NumberOfPatternVariables,935,168,67,49,-1.2389173726826526,22.58064516129032,42.241379310344826,0.20719567643138978
ParadigmEntropyFraction,1103,0,116,0,-0.10516772438803268,0.0,0.0,0.0
ParadigmGiniFraction,728,375,51,65,-3.0586331947353615,14.772727272727273,56.03448275862068,0.1346357149845014
