name,tn,fp,fn,tp,r2,precision,recall,mcc
CyclomaticComplexity,51917,11253,1749,1114,-3.747215700295004,9.007843454354331,38.91023402025847,0.1101267026555953
DepthOfNesting,54696,8474,1916,947,-2.7935372347381238,10.052011463751194,33.07719175689836,0.11449966669654812
LinesOfCode,52655,10515,1565,1298,-3.4105803460670394,10.987894692288156,45.337059028990566,0.1524612580504622
SourceLinesOfCode,52215,10955,1599,1264,-3.5836445086527826,10.344545380145673,44.149493538246595,0.14059029751632462
CommentLinesOfCode,56691,6479,1951,912,-2.0779132713034056,12.339331619537274,31.854697869367797,0.13951748165456324
CommentDensity,56884,6286,1996,867,-2.0238763597787433,12.120788480357891,30.28292001397136,0.1332349216559049
OutDegree,52486,10684,1638,1225,-3.4989379986952036,10.28633806364934,42.78728606356968,0.13705672784046363
OutDegreeDistinct,49962,13208,1512,1351,-4.374482011101557,9.27948348100831,47.18826405867971,0.1290996936314174
PatternSize,54781,8389,1918,945,-2.763232750572266,10.12427683736876,33.007334963325185,0.1153219817557678
NumberOfPatternVariables,55245,7925,2009,854,-2.6270451289594345,9.727759425902722,29.82885085574572,0.10367363192027448
ParadigmEntropyFraction,63170,0,2863,0,-0.0453221465885707,0.0,0.0,0.0
ParadigmGiniFraction,36428,26742,1452,1411,-9.294031645448188,5.011899264732,49.283967865874956,0.028623315906323308
