name,tn,fp,fn,tp,r2,precision,recall,mcc
CyclomaticComplexity,9796,3306,122,78,-16.401639444359642,2.304964539007092,39.0,0.03846825961520758
DepthOfNesting,9946,3156,137,63,-15.716335673942911,1.95712954333644,31.5,0.021060476782389762
LinesOfCode,11059,2043,124,76,-10.00039459624485,3.5865974516281263,38.0,0.07451129446753951
SourceLinesOfCode,10815,2287,114,86,-11.188254464967184,3.6241045090602615,43.0,0.0811978751228463
CommentLinesOfCode,12447,655,165,35,-3.1625858647534733,5.072463768115942,17.5,0.06859679089012594
CommentDensity,12453,649,166,34,-3.137204243626928,4.978038067349927,17.0,0.06642383426214062
OutDegree,10638,2464,131,69,-12.173061364677151,2.7240426371891036,34.5,0.04864118644347564
OutDegreeDistinct,9650,3452,128,72,-17.17324072660663,2.0431328036322363,36.0,0.026619360657405697
PatternSize,10553,2549,154,46,-12.721304381010535,1.7726396917148364,23.0,0.010886591715507906
NumberOfPatternVariables,10463,2639,152,48,-13.168020912837738,1.7863788611834759,24.0,0.011693818386232685
ParadigmEntropyFraction,13102,0,200,0,-0.015264845061822907,0.0,0.0,0.0
ParadigmGiniFraction,6945,6157,99,101,-30.75748435353382,1.613934164269735,50.5,0.008550937149171328
