name,tn,fp,fn,tp,r2,precision,recall,mcc
CyclomaticComplexity,7285,1422,882,504,-0.9269523401830744,26.168224299065418,36.36363636363637,0.1754606277029325
DepthOfNesting,7350,1357,925,461,-0.9085526216570206,25.357535753575355,33.26118326118326,0.1583140567075705
LinesOfCode,7065,1642,778,608,-1.0239690378659025,27.02222222222222,43.867243867243864,0.2068127517324691
SourceLinesOfCode,7116,1591,799,587,-0.9988785126031023,26.95133149678604,42.35209235209235,0.20146881850985843
CommentLinesOfCode,8184,523,1153,233,-0.4017240113484517,30.82010582010582,16.81096681096681,0.1412694212872851
CommentDensity,8184,523,1155,231,-0.40339671303263835,30.636604774535808,16.666666666666664,0.13955244497414765
OutDegree,7162,1545,789,597,-0.9520428654458748,27.871148459383754,43.073593073593074,0.21321492322697141
OutDegreeDistinct,6890,1817,733,653,-1.1326946473380382,26.437246963562757,47.113997113997115,0.21011792869772852
PatternSize,7357,1350,927,459,-0.9043708674465538,25.37313432835821,33.116883116883116,0.15804767691498148
NumberOfPatternVariables,7416,1291,942,444,-0.8675714303944466,25.590778097982707,32.03463203463203,0.15697564450884177
ParadigmEntropyFraction,8707,0,1386,0,-0.15918226714138073,0.0,0.0,0.0
ParadigmGiniFraction,4937,3770,743,643,-2.7744513503672805,14.570586902334012,46.39249639249639,0.021468178397896234
