name,tn,fp,fn,tp,r2,precision,recall,mcc
FanOut,1758,326,68,112,-1.3779483898485818,25.570776255707763,62.22222222222222,0.3189994645864235
FanIn,1869,215,136,44,-1.1184261036468333,16.988416988416986,24.444444444444443,0.1200745343281303
CouplingBetweenObjects,1853,231,101,79,-1.003753465557688,25.483870967741932,43.888888888888886,0.2581514433285894
DepthOfInheritance,1371,713,120,60,-4.027489869908296,7.761966364812419,33.33333333333333,-0.005018804298982895
LackOfCohesionInMethods,1685,399,109,71,-2.0659842183834507,15.106382978723405,39.44444444444444,0.1353911974341045
LinesOfCode,1913,171,97,83,-0.617487737257411,32.677165354330704,46.111111111111114,0.32491904339146455
SourceLinesOfCode,1908,176,104,76,-0.6899125613137129,30.158730158730158,42.22222222222222,0.2905299819875341
CommentLinesOfCode,1954,130,109,71,-0.4424610791213479,35.32338308457712,39.44444444444444,0.31583466371359853
CommentDensity,1823,261,103,77,-1.196886329707827,22.781065088757398,42.77777777777778,0.22965628809827135
NumberOfChildren,1748,336,143,37,-1.8909575602473874,9.919571045576408,20.555555555555554,0.03232620521690202
ResponseForClass,1819,265,71,109,-1.0278950735764556,29.144385026737968,60.55555555555555,0.3485027185475369
WeightedMethodCount,1812,272,87,93,-1.1667093196843679,25.47945205479452,51.66666666666667,0.2840733360605789
CyclomaticComplexity,1702,382,88,92,-1.8366389422051612,19.40928270042194,51.11111111111111,0.2179672843504429
DepthOfNesting,1870,214,112,68,-0.9675410535295372,24.113475177304963,37.77777777777778,0.22536399910800503
OutDegree,1839,245,105,75,-1.1123907016421413,23.4375,41.66666666666667,0.23226545816169458
OutDegreeDistinct,1627,457,74,106,-2.204798464491363,18.82770870337478,58.88888888888889,0.23131809953314827
PatternSize,1913,171,129,51,-0.8106206014075497,22.972972972972975,28.333333333333332,0.1830966903303636
NumberOfPatternVariables,1924,160,128,52,-0.7381957773512475,24.528301886792452,28.888888888888886,0.1969684753982183
ParadigmEntropyFraction,2084,0,180,0,-0.0863723608445297,0.0,0.0,0.0
ParadigmGiniFraction,1310,774,84,96,-4.1783749200255915,11.03448275862069,53.333333333333336,0.09005902975601936
