name,tn,fp,fn,tp,r2,precision,recall,mcc
FanOut,17337,2512,3237,5439,0.04773069291871923,68.40648974971701,62.69017980636238,0.5133688807372381
FanIn,16286,3563,6624,2052,-0.6873834460318329,36.54496883348175,23.651452282157674,0.06596097274911822
CouplingBetweenObjects,16742,3107,3923,4753,-0.1644552493966609,60.470737913486005,54.7833102812356,0.40291309885372867
DepthOfInheritance,12351,7498,3237,5439,-0.7781546375921984,42.042204529643655,62.69017980636238,0.23023831114025456
LackOfCohesionInMethods,18054,1795,5548,3128,-0.21630083873679684,63.53849278894983,36.053480866758875,0.32882712319602203
LinesOfCode,17895,1954,3047,5629,0.17163005658140806,74.23183436634577,64.88012909174735,0.573118992505998
SourceLinesOfCode,17846,2003,3117,5559,0.15191879418052578,73.51229833377413,64.07330567081605,0.5626443312089278
CommentLinesOfCode,18910,939,5959,2717,-0.14259065580912766,74.31619256017505,31.31627478100507,0.3658833196479788
CommentDensity,18932,917,6575,2101,-0.24098132695302765,69.6156394963552,24.21622867680959,0.29309940368934895
NumberOfChildren,18244,1605,8081,595,-0.6043973749155132,27.045454545454543,6.857999077916091,-0.021176287172346493
ResponseForClass,17589,2260,3648,5028,0.021393796097372242,68.9901207464325,57.95297372060858,0.4911980935825373
WeightedMethodCount,18211,1638,4163,4513,0.0391173681721152,73.37018370996586,52.017058552328265,0.4895633470844796
CyclomaticComplexity,13267,6582,2102,6574,-0.4384252326828739,49.969595621769535,75.77224527431996,0.39325575919310407
DepthOfNesting,19022,827,5621,3055,-0.06805226857890045,78.69654817104586,35.21207929921623,0.416538267716224
OutDegree,17532,2317,3894,4782,-0.028795384637647414,67.36160022538385,55.117565698478565,0.4622682738779461
OutDegreeDistinct,15602,4247,2953,5723,-0.19261419568363558,57.40220661985958,65.96357768556939,0.42999634000310466
PatternSize,19022,827,5689,2987,-0.07931584709369033,78.31672784478239,34.42830797602582,0.4090619409573435
NumberOfPatternVariables,19141,708,5830,2846,-0.08295994602494594,80.07878446820484,32.80313508529276,0.40726154395125386
ParadigmEntropyFraction,19849,0,8676,0,-0.4371001057987809,0.0,0.0,0.0
ParadigmGiniFraction,14413,5436,3598,5078,-0.4963995338619396,48.29750808445882,58.52927616413094,0.29698173872988215
