name,tn,fp,fn,tp,r2,precision,recall,mcc
FanOut,7809,439,328,270,-0.37560093619533563,38.081805359661494,45.1505016722408,0.3682630390392062
FanIn,7628,620,402,196,-0.832938926716601,24.019607843137255,32.77591973244147,0.21914788781181355
CouplingBetweenObjects,7827,421,358,240,-0.3971227239845716,36.30862329803328,40.13377926421405,0.33446365257592614
DepthOfInheritance,3828,4420,238,360,-7.354040626855115,7.531380753138076,60.200668896321076,0.033308485025461056
LackOfCohesionInMethods,7504,744,361,237,-0.9817979589254835,24.159021406727827,39.63210702341137,0.24475357551245835
LinesOfCode,7962,286,351,247,-0.1424482351452787,46.34146341463415,41.30434782608695,0.39920620972129817
SourceLinesOfCode,7924,324,350,248,-0.20880708082875654,43.35664335664335,41.47157190635451,0.383267621527361
CommentLinesOfCode,8025,223,375,223,-0.0725024248302617,50.0,37.29096989966555,0.3968572399896919
CommentDensity,7482,766,324,274,-0.9548957241889384,26.346153846153847,45.819397993311036,0.28475474370472875
NumberOfChildren,7371,877,453,145,-1.385331479973659,14.187866927592955,24.24749163879599,0.10692771458009241
ResponseForClass,7709,539,295,303,-0.4957642513519034,35.98574821852731,50.668896321070235,0.37756211838457987
WeightedMethodCount,7822,426,337,261,-0.36842700693225683,37.99126637554585,43.64548494983278,0.360968976880694
CyclomaticComplexity,6897,1351,276,322,-1.9179957277572504,19.246861924686193,53.84615384615385,0.2401976711782948
DepthOfNesting,7538,710,354,244,-0.9082651839789271,25.57651991614256,40.802675585284284,0.2605789062964189
OutDegree,7018,1230,278,320,-1.70457133218066,20.64516129032258,53.51170568561873,0.2549134231304729
OutDegreeDistinct,6569,1679,219,379,-2.4040294353308305,18.415937803692906,63.37792642140469,0.25563282893945866
PatternSize,7590,658,378,220,-0.8580476791373763,25.05694760820046,36.78929765886287,0.24191927153857903
NumberOfPatternVariables,7589,659,381,217,-0.8652216084004551,24.771689497716896,36.2876254180602,0.23784636916558582
ParadigmEntropyFraction,8248,0,598,0,-0.0725024248302617,0.0,0.0,0.0
ParadigmGiniFraction,5124,3124,290,308,-5.122948626037648,8.974358974358974,51.50501672240802,0.07022010891458047
