name,tn,fp,fn,tp,r2,precision,recall,mcc
FanOut,18014,3099,921,1488,-0.8591462331701578,32.43950294310007,61.76836861768369,0.3603520192913446
FanIn,18263,2850,1831,578,-1.1648416710123155,16.861143523920656,23.99335823993358,0.09017875860058938
CouplingBetweenObjects,18175,2938,987,1422,-0.8152111853713606,32.61467889908257,59.02864259028643,0.3519912425228148
DepthOfInheritance,11398,9715,1013,1396,-3.9614230819526,12.564125641256412,57.94935657949356,0.07248326526997434
LackOfCohesionInMethods,15960,5153,1074,1335,-1.8798267646643216,20.576448828606658,55.41718555417185,0.2103716955961574
LinesOfCode,18766,2347,1016,1393,-0.555300692077423,37.24598930481283,57.82482357824824,0.38727363117205277
SourceLinesOfCode,18599,2514,967,1442,-0.6098726461854029,36.45096056622851,59.85886259858862,0.3887017248533295
CommentLinesOfCode,19497,1616,1462,947,-0.42349554868103123,36.9488880218494,39.31091739310917,0.30803616044137033
CommentDensity,17287,3826,1373,1036,-1.4044033000625995,21.30810366104484,43.00539643005396,0.186315001807339
NumberOfChildren,3720,17393,465,1944,-7.258864037799174,10.05326575994208,80.69738480697384,-0.01334354079612725
ResponseForClass,18182,2931,968,1441,-0.8031868565001108,32.95974382433669,59.817351598173516,0.3580236972545499
WeightedMethodCount,18171,2942,1133,1276,-0.8845823134747246,30.25130393551446,52.96803652968036,0.30849906902937446
CyclomaticComplexity,17452,3661,1151,1258,-1.2254257895559202,25.57430372026835,52.22083852220839,0.26004591992517195
DepthOfNesting,18289,2824,1191,1218,-0.8568338622333791,30.133597229094505,50.560398505603985,0.29885852314404265
OutDegree,18110,3003,1181,1228,-0.9349919998965026,29.02387142519499,50.97550850975509,0.2901188798167038
OutDegreeDistinct,17652,3461,1087,1322,-1.1033326040939992,27.639556763537527,54.87754254877542,0.28990733092016924
PatternSize,18666,2447,1321,1088,-0.7426027379565061,30.777934936350775,45.16396845163968,0.28485728742362587
NumberOfPatternVariables,18397,2716,1276,1133,-0.8461969559241964,29.43621719927254,47.03196347031963,0.28002821420739205
ParadigmEntropyFraction,21113,0,2409,0,-0.11410031734002746,0.0,0.0,0.0
ParadigmGiniFraction,12409,8704,618,1791,-3.3111843745304004,17.065269175797997,74.34620174346202,0.2020113345557919
