name,tn,fp,fn,tp,r2,precision,recall,mcc
FanOut,7809,439,328,270,-0.37560093619533563,38.081805359661494,45.1505016722408,0.3682630390392062
FanIn,7628,620,402,196,-0.832938926716601,24.019607843137255,32.77591973244147,0.21914788781181355
CouplingBetweenObjects,7827,421,358,240,-0.3971227239845716,36.30862329803328,40.13377926421405,0.33446365257592614
DepthOfInheritance,3828,4420,238,360,-7.354040626855115,7.531380753138076,60.200668896321076,0.033308485025461056
LackOfCohesionInMethods,7504,744,361,237,-0.9817979589254835,24.159021406727827,39.63210702341137,0.24475357551245835
LinesOfCode,7962,286,351,247,-0.1424482351452787,46.34146341463415,41.30434782608695,0.39920620972129817
SourceLinesOfCode,7924,324,350,248,-0.20880708082875654,43.35664335664335,41.47157190635451,0.383267621527361
CommentLinesOfCode,8025,223,375,223,-0.0725024248302617,50.0,37.29096989966555,0.3968572399896919
CommentDensity,7482,766,324,274,-0.9548957241889384,26.346153846153847,45.819397993311036,0.28475474370472875
NumberOfChildren,7371,877,453,145,-1.385331479973659,14.187866927592955,24.24749163879599,0.10692771458009241
ResponseForClass,7709,539,295,303,-0.4957642513519034,35.98574821852731,50.668896321070235,0.37756211838457987
WeightedMethodCount,7822,426,337,261,-0.36842700693225683,37.99126637554585,43.64548494983278,0.360968976880694
CyclomaticComplexity,7249,999,257,341,-1.2526137886067032,25.44776119402985,57.02341137123745,0.31450291823318777
DepthOfNesting,7429,819,277,321,-0.9656566180835564,28.157894736842103,53.67892976588629,0.3278148331028787
OutDegree,7582,666,317,281,-0.762993116401584,29.672650475184792,46.98996655518395,0.3159977943057462
OutDegreeDistinct,7082,1166,237,361,-1.5162556890248444,23.64112639161755,60.367892976588635,0.3071242145054714
PatternSize,7658,590,322,276,-0.6356558719819374,31.87066974595843,46.15384615384615,0.329485100357816
NumberOfPatternVariables,7519,729,294,304,-0.8347324090323707,29.428848015488867,50.836120401337794,0.328314802462198
ParadigmEntropyFraction,8248,0,598,0,-0.0725024248302617,0.0,0.0,0.0
ParadigmGiniFraction,4824,3424,154,444,-5.417079725823873,11.478800413650465,74.24749163879598,0.1656756151743073
