name,tn,fp,fn,tp,r2,precision,recall,mcc
FanOut,6101,1038,296,561,-0.7434536703495496,35.0844277673546,65.46091015169195,0.3938166908853447
FanIn,6047,1092,645,212,-1.2701491944506502,16.257668711656443,24.73745624270712,0.0790531838759039
CouplingBetweenObjects,6039,1100,318,539,-0.8532363602366275,32.88590604026846,62.89381563593932,0.36387690348318785
DepthOfInheritance,3697,3442,416,441,-4.042162114099372,11.35719804275045,51.4585764294049,0.02008164560006282
LackOfCohesionInMethods,5876,1263,411,446,-1.1878121770353416,26.09713282621416,52.04200700116686,0.2592082477562053
LinesOfCode,6262,877,374,483,-0.6349779172468415,35.51470588235294,56.35939323220537,0.3628911780614747
SourceLinesOfCode,6294,845,371,486,-0.5892351297938923,36.51389932381668,56.70945157526255,0.3726539103077332
CommentLinesOfCode,6426,713,526,331,-0.6192946758344018,31.70498084291188,38.62310385064177,0.26291292473769584
CommentDensity,5719,1420,528,329,-1.5459128559527153,18.810748999428245,38.38973162193699,0.13842880711233677
NumberOfChildren,5407,1732,640,217,-2.1000540525255857,11.133914828116984,25.32088681446908,0.007635742994358209
ResponseForClass,6167,972,332,525,-0.7042455668184502,35.07014028056113,61.260210035005834,0.377825240861271
WeightedMethodCount,6273,866,404,453,-0.659809716149871,34.34420015163002,52.85880980163361,0.3394625467530458
CyclomaticComplexity,6285,854,406,451,-0.6467403483061711,34.559386973180075,52.625437572928824,0.340374887674162
DepthOfNesting,6433,706,469,388,-0.535650721634723,35.46617915904936,45.27421236872812,0.3185155165557205
OutDegree,6360,779,425,432,-0.5735518883814525,35.672997522708506,50.40840140023337,0.3408166593531408
OutDegreeDistinct,6319,820,410,447,-0.607532244775072,35.280189423835836,52.15869311551925,0.34454527416412745
PatternSize,6533,606,491,366,-0.43370965245386484,37.65432098765432,42.70711785297549,0.3239254850006888
NumberOfPatternVariables,6531,608,505,352,-0.4546206410037845,36.666666666666664,41.07351225204201,0.3098516355160086
ParadigmEntropyFraction,7139,0,857,0,-0.12004482420507046,0.0,0.0,0.0
ParadigmGiniFraction,6106,1033,518,339,-1.0270589525578346,24.708454810495628,39.55659276546091,0.20583384626353426
