name,tn,fp,fn,tp,r2,precision,recall,mcc
FanOut,499,74,33,68,-0.24614241528864933,47.88732394366197,67.32673267326733,0.4762496553793595
FanIn,467,106,73,28,-1.0846681526791424,20.8955223880597,27.722772277227726,0.08248809850709221
CouplingBetweenObjects,485,88,33,68,-0.40918908644791174,43.58974358974359,67.32673267326733,0.43979967007398746
DepthOfInheritance,306,267,42,59,-2.5986729563008657,18.098159509202453,58.415841584158414,0.08441501108546173
LackOfCohesionInMethods,494,79,54,47,-0.548943376012994,37.301587301587304,46.53465346534654,0.2998068131596852
LinesOfCode,526,47,40,61,-0.01321859934684566,56.481481481481474,60.396039603960396,0.5078496141769606
SourceLinesOfCode,520,53,42,59,-0.10638812572356704,52.67857142857143,58.415841584158414,0.4714418802437524
CommentLinesOfCode,542,31,55,46,-0.0015724085497554885,59.74025974025974,45.54455445544555,0.4503214083783808
CommentDensity,514,59,55,46,-0.32766575086828054,43.80952380952381,45.54455445544555,0.3469126187549783
NumberOfChildren,503,70,78,23,-0.7236362379693466,24.731182795698924,22.772277227722775,0.10924525601741401
ResponseForClass,499,74,41,60,-0.3393119416653707,44.776119402985074,59.4059405940594,0.41577833990854685
WeightedMethodCount,510,63,49,52,-0.3043733692741002,45.21739130434783,51.48514851485149,0.3841802815904448
CyclomaticComplexity,510,63,49,52,-0.3043733692741002,45.21739130434783,51.48514851485149,0.3841802815904448
DepthOfNesting,526,47,48,53,-0.10638812572356704,53.0,52.475247524752476,0.44454843203025557
OutDegree,525,48,43,58,-0.05980336253520635,54.71698113207547,57.42574257425742,0.48088264095973376
OutDegreeDistinct,510,63,42,59,-0.22285003369446899,48.36065573770492,58.415841584158414,0.4396023026221602
PatternSize,526,47,50,51,-0.12968050731774738,52.04081632653062,50.495049504950494,0.42823106316049053
NumberOfPatternVariables,537,36,54,47,-0.04815717173811618,56.62650602409639,46.53465346534654,0.4372118559541812
ParadigmEntropyFraction,573,0,101,0,-0.17626527050610807,0.0,0.0,0.0
ParadigmGiniFraction,484,89,58,43,-0.7119900471722564,32.57575757575758,42.57425742574257,0.2432146522849625
