name,count,mean,std,min,25%,50%,75%,max
IsRecursive,8399,0.03881414454101679,0.1931632707427696,0.0,0.0,0.0,0.0,1.0
IsNested,8399,0.05298249791641862,0.22401189144726988,0.0,0.0,0.0,0.0,1.0
HasNestedMethods,8399,0.07917609239195142,0.2700294804011298,0.0,0.0,0.0,0.0,1.0
HasFunctions,8399,0.43933801643052744,0.4963360298801966,0.0,0.0,0.0,1.0,1.0
IsFunction,8399,0.005000595308965353,0.07054205716204187,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,8399,0.18216454339802357,0.3860030602713215,0.0,0.0,0.0,0.0,1.0
HasHigherOrderCalls,8399,0.38659364210025005,0.48699818844045206,0.0,0.0,0.0,1.0,1.0
HasFunctionCalls,8399,0.130372663412311,0.3367330283184481,0.0,0.0,0.0,0.0,1.0
HasCurrying,8399,0.017025836409096322,0.12937523006364793,0.0,0.0,0.0,0.0,1.0
HasPatternMatching,8399,0.11977616382902727,0.32471893780204353,0.0,0.0,0.0,0.0,1.0
HasLazyValues,8399,0.020478628408143826,0.14163912863974015,0.0,0.0,0.0,0.0,1.0
HasMultipleParameterLists,8399,0.3564710084533873,0.4789851193358877,0.0,0.0,0.0,1.0,1.0
FunctionalScoreBool,8399,1.828193832599119,1.8574811468908943,0.0,0.0,1.0,3.0,9.0
HasVariables,8399,0.11048934396952018,0.3135173867548728,0.0,0.0,0.0,0.0,1.0
HasVariableDefinitions,8399,0.04488629598761757,0.2070667075788672,0.0,0.0,0.0,0.0,1.0
HasInnerVariableAssignment,8399,0.050720323848077155,0.21943907090483308,0.0,0.0,0.0,0.0,1.0
HasOuterVariableUsage,8399,0.07429455887605667,0.26226526043824117,0.0,0.0,0.0,0.0,1.0
HasOuterVariableAssignment,8399,0.015597094892249077,0.12391793169209439,0.0,0.0,0.0,0.0,1.0
HasSideEffects,8399,0.20728658173592093,0.4053867550811999,0.0,0.0,0.0,0.0,1.0
IsSideEffect,8399,0.07429455887605667,0.26226526043823517,0.0,0.0,0.0,0.0,1.0
HasSideEffectCalls,8399,0.13001547803309918,0.3363404857596558,0.0,0.0,0.0,0.0,1.0
HasSideEffectFunctions,8399,0.018930825098225978,0.13628888616359283,0.0,0.0,0.0,0.0,1.0
ImperativeScoreBool,8399,0.7265150613168234,1.542785262214542,0.0,0.0,0.0,0.0,9.0
HasPointsBool,8399,0.7343731396594833,0.44169272063756787,0.0,0.0,1.0,1.0,1.0
ParadigmScoreBool,8399,0.4031432313370639,0.6430752113077638,-1.0,0.0,0.0,1.0,1.0
