name,count,mean,std,min,25%,50%,75%,max
IsRecursive,3933,0.020340706839562676,0.1411808428210505,0.0,0.0,0.0,0.0,1.0
IsNested,3933,0.021103483346046274,0.143747626706303,0.0,0.0,0.0,0.0,1.0
HasNestedMethods,3933,0.07856598016781083,0.26909436683532184,0.0,0.0,0.0,0.0,1.0
HasFunctions,3933,0.3485888634630053,0.476584114461163,0.0,0.0,0.0,1.0,1.0
IsFunction,3933,0.006102212051868803,0.07788785223399107,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,3933,0.046275108060005087,0.21010698864335012,0.0,0.0,0.0,0.0,1.0
HasHigherOrderCalls,3933,0.3315535214848716,0.47083133765797563,0.0,0.0,0.0,1.0,1.0
HasFunctionCalls,3933,0.032036613272311214,0.1761197187211105,0.0,0.0,0.0,0.0,1.0
HasCurrying,3933,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HasPatternMatching,3933,0.2903635901347572,0.4539878629114735,0.0,0.0,0.0,1.0,1.0
HasLazyValues,3933,0.00737350622934147,0.08556283693241952,0.0,0.0,0.0,0.0,1.0
HasMultipleParameterLists,3933,0.3763030765319095,0.4845191024238732,0.0,0.0,0.0,1.0,1.0
FunctionalScoreBool,3933,1.55860666158149,1.3988206379438979,0.0,0.0,1.0,2.0,7.0
HasVariables,3933,0.03279938977879481,0.17813382009970183,0.0,0.0,0.0,0.0,1.0
HasVariableDefinitions,3933,0.016526824307144673,0.12750616487204286,0.0,0.0,0.0,0.0,1.0
HasInnerVariableAssignment,3933,0.019832189168573607,0.1394410886492035,0.0,0.0,0.0,0.0,1.0
HasOuterVariableUsage,3933,0.016526824307144673,0.12750616487204053,0.0,0.0,0.0,0.0,1.0
HasOuterVariableAssignment,3933,0.00889905924230867,0.09392608309779334,0.0,0.0,0.0,0.0,1.0
HasSideEffects,3933,0.2918891431477244,0.4546893855717141,0.0,0.0,0.0,1.0,1.0
IsSideEffect,3933,0.18815153826595474,0.39088282766732274,0.0,0.0,0.0,0.0,1.0
HasSideEffectCalls,3933,0.159674548690567,0.3663505315389642,0.0,0.0,0.0,0.0,1.0
HasSideEffectFunctions,3933,0.046275108060005087,0.2101069886433515,0.0,0.0,0.0,0.0,1.0
ImperativeScoreBool,3933,0.7805746249682176,1.395899012915762,0.0,0.0,0.0,2.0,7.0
HasPointsBool,3933,0.7917620137299771,0.40609956773276384,0.0,1.0,1.0,1.0,1.0
ParadigmScoreBool,3933,0.4296974319857615,0.6151303817545374,-1.0,0.0,0.0,1.0,1.0
