name,count,mean,std,min,25%,50%,75%,max
IsRecursive,4038,0.005695889053987122,0.07526518974042926,0.0,0.0,0.0,0.0,1.0
IsNested,4038,0.04853888063397722,0.2149285872009068,0.0,0.0,0.0,0.0,1.0
HasNestedMethods,4038,0.05448241703813769,0.2269952505189049,0.0,0.0,0.0,0.0,1.0
HasFunctions,4038,0.26448736998514116,0.4411144849326476,0.0,0.0,0.0,1.0,1.0
IsFunction,4038,0.02105002476473502,0.1435688884671517,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,4038,0.08865775136206043,0.28428430970108803,0.0,0.0,0.0,0.0,1.0
HasHigherOrderCalls,4038,0.199851411589896,0.3999380404226297,0.0,0.0,0.0,0.0,1.0
HasFunctionCalls,4038,0.03516592372461615,0.18422183939817297,0.0,0.0,0.0,0.0,1.0
HasCurrying,4038,0.011391778107974244,0.10613573948578044,0.0,0.0,0.0,0.0,1.0
HasPatternMatching,4038,0.18103021297672114,0.3850908981397395,0.0,0.0,0.0,0.0,1.0
HasLazyValues,4038,0.02055473006438831,0.14190567312675845,0.0,0.0,0.0,0.0,1.0
HasMultipleParameterLists,4038,0.19266963843486876,0.3944446468953177,0.0,0.0,0.0,0.0,1.0
FunctionalScoreBool,4038,1.1235760277365032,1.4847366078496556,0.0,0.0,0.0,2.0,8.0
HasVariables,4038,0.01634472511144131,0.12681308145299816,0.0,0.0,0.0,0.0,1.0
HasVariableDefinitions,4038,0.009162951956414067,0.09529554665975555,0.0,0.0,0.0,0.0,1.0
HasInnerVariableAssignment,4038,0.012134720158494304,0.10950085901671841,0.0,0.0,0.0,0.0,1.0
HasOuterVariableUsage,4038,0.006686478454680535,0.08150714499108792,0.0,0.0,0.0,0.0,1.0
HasOuterVariableAssignment,4038,0.0027241208519068845,0.05212842763508237,0.0,0.0,0.0,0.0,1.0
HasSideEffects,4038,0.039871223377909853,0.19568084113387868,0.0,0.0,0.0,0.0,1.0
IsSideEffect,4038,0.011144130757800892,0.10498889866164399,0.0,0.0,0.0,0.0,1.0
HasSideEffectCalls,4038,0.03417533432392273,0.18170183560710584,0.0,0.0,0.0,0.0,1.0
HasSideEffectFunctions,4038,0.002228826151560178,0.04716364441631501,0.0,0.0,0.0,0.0,1.0
ImperativeScoreBool,4038,0.13447251114413075,0.7073662150624019,0.0,0.0,0.0,0.0,6.0
HasPointsBool,4038,0.5054482417038137,0.500032235444047,0.0,0.0,1.0,1.0,1.0
ParadigmScoreBool,4038,0.4477464091134225,0.5249472394836414,-1.0,0.0,0.0,1.0,1.0
