name,count,mean,std,min,25%,50%,75%,max
IsRecursive,4463,0.00745216210865002,0.05760873235457733,0.0,0.0,0.0,0.0,1.0
IsNested,4463,7.468817686160281e-05,0.004989595069127985,0.0,0.0,0.0,0.0,0.3333333333333333
HasNestedMethods,4463,0.04805470154363027,0.1731784814815855,0.0,0.0,0.0,0.0,1.0
HasFunctions,4463,0.19062720727441793,0.3288571872138915,0.0,0.0,0.0,0.2857142857142857,1.0
IsFunction,4463,0.04875935360234732,0.19660384199456268,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,4463,0.029034881847583526,0.14138252238511823,0.0,0.0,0.0,0.0,1.0
HasHigherOrderCalls,4463,0.1166361044724856,0.25843546342889584,0.0,0.0,0.0,0.0,1.0
HasFunctionCalls,4463,0.038020226681479745,0.15563378357647006,0.0,0.0,0.0,0.0,1.0
HasCurrying,4463,0.008216071729882304,0.07050473636576875,0.0,0.0,0.0,0.0,1.0
HasPatternMatching,4463,0.11294305261552434,0.2520220259636503,0.0,0.0,0.0,0.025649350649350602,1.0
HasLazyValues,4463,0.01252946954291654,0.08161353925311687,0.0,0.0,0.0,0.0,1.0
HasMultipleParameterLists,4463,0.025372621290644905,0.13016493509562374,0.0,0.0,0.0,0.0,1.0
FunctionalScoreBool,4463,0.6377205408864242,0.9749294321871788,0.0,0.0,0.0,1.0,6.0
HasVariables,4463,0.1032762039392958,0.25334049397382374,0.0,0.0,0.0,0.0,1.0
HasVariableDefinitions,4463,0.025529694965594662,0.12733754279258652,0.0,0.0,0.0,0.0,1.0
HasInnerVariableAssignment,4463,0.020408383074069215,0.1138047105944121,0.0,0.0,0.0,0.0,1.0
HasOuterVariableUsage,4463,0.09478098428154148,0.24477159587060604,0.0,0.0,0.0,0.0,1.0
HasOuterVariableAssignment,4463,0.05213890892935828,0.1644279356412543,0.0,0.0,0.0,0.0,1.0
HasSideEffects,4463,0.28366936627801176,0.3818605642693569,0.0,0.0,0.0,0.5,1.0
IsSideEffect,4463,0.19215930465593997,0.3394727571057946,0.0,0.0,0.0,0.2857142857142857,1.0
HasSideEffectCalls,4463,0.22569455220456455,0.34974467763007533,0.0,0.0,0.0,0.4166666666666667,1.0
HasSideEffectFunctions,4463,0.027739635503062847,0.12026295252161642,0.0,0.0,0.0,0.0,1.0
ImperativeScoreBool,4463,1.0253970338314389,1.5387176747283426,0.0,0.0,0.0,2.0,8.0
HasPointsBool,4463,0.4620116285410141,0.4306359921471716,0.0,0.0,0.4444444444444444,1.0,1.0
ParadigmScoreBool,4463,-0.009187016436657617,0.4865549861009505,-1.0,-0.125,0.0,0.0,1.0
