name,count,mean,std,min,25%,50%,75%,max
IsRecursive,13902,0.008039176327641432,0.05793734451735976,0.0,0.0,0.0,0.0,1.0
IsNested,13902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HasNestedMethods,13902,0.06336329346202488,0.19010027434334037,0.0,0.0,0.0,0.0,1.0
HasFunctions,13902,0.19749799440520463,0.3152380072310391,0.0,0.0,0.0,0.3333333333333333,1.0
IsFunction,13902,0.03660108698523993,0.15734025100063695,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,13902,0.026610867030413904,0.1270047921099277,0.0,0.0,0.0,0.0,1.0
HasHigherOrderCalls,13902,0.1255990401084148,0.2577829901659016,0.0,0.0,0.0,0.125,1.0
HasFunctionCalls,13902,0.05569949443013678,0.17147637595997747,0.0,0.0,0.0,0.0,1.0
HasCurrying,13902,0.015951622784247093,0.09496721998465672,0.0,0.0,0.0,0.0,1.0
HasPatternMatching,13902,0.1225147106383503,0.25214677728068036,0.0,0.0,0.0,0.125,1.0
HasLazyValues,13902,0.01901153719405917,0.10627424343594777,0.0,0.0,0.0,0.0,1.0
HasMultipleParameterLists,13902,0.022542887923949245,0.11912676864994637,0.0,0.0,0.0,0.0,1.0
FunctionalScoreBool,13902,0.6934317112896821,0.9918651750485616,0.0,0.0,0.125,1.0,7.0
HasVariables,13902,0.1626103397314222,0.3010211813448171,0.0,0.0,0.0,0.25,1.0
HasVariableDefinitions,13902,0.03641503855659933,0.14987574017394617,0.0,0.0,0.0,0.0,1.0
HasInnerVariableAssignment,13902,0.0165945347313692,0.09797438050303782,0.0,0.0,0.0,0.0,1.0
HasOuterVariableUsage,13902,0.1571895627663129,0.29809183829353764,0.0,0.0,0.0,0.2,1.0
HasOuterVariableAssignment,13902,0.09242848347996827,0.21333827705704014,0.0,0.0,0.0,0.0,1.0
HasSideEffects,13902,0.3823245767661441,0.41216248510716597,0.0,0.0,0.25,0.8,1.0
IsSideEffect,13902,0.2848378402469864,0.39713749015143074,0.0,0.0,0.0,0.6,1.0
HasSideEffectCalls,13902,0.32481956294740194,0.3950618012096255,0.0,0.0,0.0,0.6666666666666666,1.0
HasSideEffectFunctions,13902,0.03625051548884096,0.13814870535824436,0.0,0.0,0.0,0.0,1.0
ImperativeScoreBool,13902,1.4934704547150452,1.7767273615226813,0.0,0.0,0.6666666666666666,3.0,8.0
HasPointsBool,13902,0.5418235195654707,0.42578620537370176,0.0,0.0,0.5714285714285714,1.0,1.0
ParadigmScoreBool,13902,-0.10391652413211142,0.5208038025755379,-1.0,-0.4032258064516129,0.0,0.0,1.0
