name,count,mean,std,min,25%,50%,75%,max
IsRecursive,1067,0.0039362699156513595,0.04220102506195531,0.0,0.0,0.0,0.0,0.5
IsNested,1067,0.00011715089034676645,0.0022072899584417785,0.0,0.0,0.0,0.0,0.0416666666666666
HasNestedMethods,1067,0.048381095606074155,0.16436146195411985,0.0,0.0,0.0,0.0,1.0
HasFunctions,1067,0.21997463693154165,0.34318803562859757,0.0,0.0,0.0,0.4,1.0
IsFunction,1067,0.016314947418508804,0.10766418403838418,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,1067,0.06906031241162972,0.21612111207903664,0.0,0.0,0.0,0.0,1.0
HasHigherOrderCalls,1067,0.16940837755148264,0.305583192907247,0.0,0.0,0.0,0.25,1.0
HasFunctionCalls,1067,0.033067154911109925,0.14560676861650498,0.0,0.0,0.0,0.0,1.0
HasCurrying,1067,0.0076287036924337776,0.06496230066633304,0.0,0.0,0.0,0.0,1.0
HasPatternMatching,1067,0.15112396175939147,0.2912676189236844,0.0,0.0,0.0,0.2,1.0
HasLazyValues,1067,0.02192016327222931,0.11400247425654092,0.0,0.0,0.0,0.0,1.0
HasMultipleParameterLists,1067,0.17637403848914995,0.34648939217235525,0.0,0.0,0.0,0.0,1.0
FunctionalScoreBool,1067,0.9173068128495496,1.1994180990485261,0.0,0.0,0.5,1.5,7.0
HasVariables,1067,0.023842127708107088,0.13742907455269773,0.0,0.0,0.0,0.0,1.0
HasVariableDefinitions,1067,0.014591000828114232,0.10709825960944588,0.0,0.0,0.0,0.0,1.0
HasInnerVariableAssignment,1067,0.016227319835567258,0.10898631224126111,0.0,0.0,0.0,0.0,1.0
HasOuterVariableUsage,1067,0.009251126879992858,0.08524672339971093,0.0,0.0,0.0,0.0,1.0
HasOuterVariableAssignment,1067,0.004764136207435176,0.05895389630522697,0.0,0.0,0.0,0.0,1.0
HasSideEffects,1067,0.05349925604155368,0.20192444355717817,0.0,0.0,0.0,0.0,1.0
IsSideEffect,1067,0.015984513768018925,0.11610260414359787,0.0,0.0,0.0,0.0,1.0
HasSideEffectCalls,1067,0.041712557891219165,0.17397210714435254,0.0,0.0,0.0,0.0,1.0
HasSideEffectFunctions,1067,0.0037019681349578257,0.05569471889524902,0.0,0.0,0.0,0.0,1.0
ImperativeScoreBool,1067,0.1835740072949662,0.7592726904817236,0.0,0.0,0.0,0.0,6.0
HasPointsBool,1067,0.42748076123638934,0.42510243902370337,0.0,0.0,0.375,1.0,1.0
ParadigmScoreBool,1067,0.34993298906103365,0.4419851680296844,-1.0,0.0,0.1666666666666666,0.7655677655677655,1.0
