name,count,mean,std,min,25%,50%,75%,max
IsRecursive,870,0.013037527606493121,0.09218966740108467,0.0,0.0,0.0,0.0,1.0
IsNested,870,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HasNestedMethods,870,0.012826139377863515,0.08594188341639164,0.0,0.0,0.0,0.0,1.0
HasFunctions,870,0.12866335311840346,0.2555449516639296,0.0,0.0,0.0,0.1428571428571428,1.0
IsFunction,870,0.015333415743174102,0.08698386850897628,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,870,0.009012124529365907,0.06584930910227513,0.0,0.0,0.0,0.0,1.0
HasHigherOrderCalls,870,0.09319849054686784,0.21125983077320717,0.0,0.0,0.0,0.0,1.0
HasFunctionCalls,870,0.009054087674777328,0.07336949174359982,0.0,0.0,0.0,0.0,1.0
HasCurrying,870,0.0029984702398495496,0.04053187059699404,0.0,0.0,0.0,0.0,1.0
HasPatternMatching,870,0.1087808684235235,0.24339563993393037,0.0,0.0,0.0,0.0769230769230769,1.0
HasLazyValues,870,0.0342829416284585,0.13164952237068983,0.0,0.0,0.0,0.0,1.0
HasMultipleParameterLists,870,0.020587533346154034,0.10512739962991642,0.0,0.0,0.0,0.0,1.0
FunctionalScoreBool,870,0.4477749522349308,0.6962033862522263,0.0,0.0,0.0,0.7458333333333333,4.333333333333333
HasVariables,870,0.04209016391044127,0.16426553826523826,0.0,0.0,0.0,0.0,1.0
HasVariableDefinitions,870,0.009284483798726678,0.061647356328608516,0.0,0.0,0.0,0.0,1.0
HasInnerVariableAssignment,870,0.010962097372891976,0.07054604777246103,0.0,0.0,0.0,0.0,1.0
HasOuterVariableUsage,870,0.033753955973783556,0.15339485418008775,0.0,0.0,0.0,0.0,1.0
HasOuterVariableAssignment,870,0.018848748473748473,0.10261508480335783,0.0,0.0,0.0,0.0,1.0
HasSideEffects,870,0.19825545622546017,0.3298222897303716,0.0,0.0,0.0,0.3333333333333333,1.0
IsSideEffect,870,0.12144245115065955,0.27802813010974775,0.0,0.0,0.0,0.0,1.0
HasSideEffectCalls,870,0.12410944436038139,0.2595749025621792,0.0,0.0,0.0,0.1111111111111111,1.0
HasSideEffectFunctions,870,0.017406603613500164,0.09086748226781188,0.0,0.0,0.0,0.0,1.0
ImperativeScoreBool,870,0.5761534048795933,1.0751081021163895,0.0,0.0,0.0,0.7142857142857143,6.0
HasPointsBool,870,0.3744744131217591,0.3949125053793921,0.0,0.0,0.25,0.7142857142857143,1.0
ParadigmScoreBool,870,0.042113608096808246,0.43962942454635295,-1.0,0.0,0.0,0.1666666666666666,1.0
