name,count,mean,std,min,25%,50%,75%,max
IsRecursive,868,0.03571428571428571,0.18568386381499402,0.0,0.0,0.0,0.0,1.0
IsNested,868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HasNestedMethods,868,0.04377880184331797,0.20472054694474093,0.0,0.0,0.0,0.0,1.0
HasFunctions,868,0.3087557603686636,0.4622464780650079,0.0,0.0,0.0,1.0,1.0
IsFunction,868,0.056451612903225805,0.23092480181213806,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,868,0.03341013824884793,0.1798086448931123,0.0,0.0,0.0,0.0,1.0
HasHigherOrderCalls,868,0.25,0.433262348901654,0.0,0.0,0.0,0.25,1.0
HasFunctionCalls,868,0.03341013824884793,0.1798086448931123,0.0,0.0,0.0,0.0,1.0
HasCurrying,868,0.013824884792626729,0.1168310000103739,0.0,0.0,0.0,0.0,1.0
HasPatternMatching,868,0.2638248847926267,0.4409595563249409,0.0,0.0,0.0,1.0,1.0
HasLazyValues,868,0.10714285714285714,0.30947310635832237,0.0,0.0,0.0,0.0,1.0
HasMultipleParameterLists,868,0.06105990783410138,0.2395782166581695,0.0,0.0,0.0,0.0,1.0
FunctionalScoreBool,868,1.0345622119815667,1.3605765509194374,0.0,0.0,0.0,2.0,7.0
HasVariables,868,0.0956221198156682,0.2942418640737368,0.0,0.0,0.0,0.0,1.0
HasVariableDefinitions,868,0.03686635944700461,0.18854226348076453,0.0,0.0,0.0,0.0,1.0
HasInnerVariableAssignment,868,0.041474654377880185,0.19950027662099382,0.0,0.0,0.0,0.0,1.0
HasOuterVariableUsage,868,0.06566820276497695,0.24784401939467252,0.0,0.0,0.0,0.0,1.0
HasOuterVariableAssignment,868,0.05184331797235023,0.22183841987876385,0.0,0.0,0.0,0.0,1.0
HasSideEffects,868,0.3617511520737327,0.4807843196216562,0.0,0.0,0.0,1.0,1.0
IsSideEffect,868,0.22350230414746544,0.4168323356856041,0.0,0.0,0.0,0.0,1.0
HasSideEffectCalls,868,0.2695852534562212,0.44400018014279263,0.0,0.0,0.0,1.0,1.0
HasSideEffectFunctions,868,0.06451612903225806,0.24581173761815753,0.0,0.0,0.0,0.0,1.0
ImperativeScoreBool,868,1.152073732718894,1.7977065574029336,0.0,0.0,0.0,2.0,9.0
HasPointsBool,868,0.5944700460829493,0.4912773833417886,0.0,0.0,1.0,1.0,1.0
ParadigmScoreBool,868,0.2995391705069124,0.5704364217567706,-1.0,0.0,0.0,1.0,1.0
