name,count,mean,std,min,25%,50%,75%,max
IsRecursive,2258,0.009300265721877768,0.09600965101540178,0.0,0.0,0.0,0.0,1.0
IsNested,2258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HasNestedMethods,2258,0.16519043401240036,0.37143458974460586,0.0,0.0,0.0,0.0,1.0
HasFunctions,2258,0.5673162090345438,0.4955575514147423,0.0,0.0,1.0,1.0,1.0
IsFunction,2258,0.09433126660761736,0.2923537773881423,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,2258,0.12178919397697077,0.3271146206393694,0.0,0.0,0.0,0.0,1.0
HasHigherOrderCalls,2258,0.5035429583702391,0.5000981987455889,0.0,0.0,1.0,1.0,1.0
HasFunctionCalls,2258,0.17891939769707707,0.38336971246237384,0.0,0.0,0.0,0.0,1.0
HasCurrying,2258,0.09920283436669619,0.2990003764590764,0.0,0.0,0.0,0.0,1.0
HasPatternMatching,2258,0.34986713906111605,0.4770334410892611,0.0,0.0,0.0,1.0,1.0
HasLazyValues,2258,0.034100974313551816,0.1815287625040207,0.0,0.0,0.0,0.0,1.0
HasMultipleParameterLists,2258,0.08724534986713905,0.28225676561443097,0.0,0.0,0.0,0.0,1.0
FunctionalScoreBool,2258,1.9747564216120461,1.7946853450757738,0.0,0.0,2.0,3.0,7.0
HasVariables,2258,0.13064658990256864,0.3370880909011086,0.0,0.0,0.0,0.0,1.0
HasVariableDefinitions,2258,0.03941541186891054,0.19462428540523963,0.0,0.0,0.0,0.0,1.0
HasInnerVariableAssignment,2258,0.048715677590788306,0.21532067508016278,0.0,0.0,0.0,0.0,1.0
HasOuterVariableUsage,2258,0.10230292294065545,0.3031133859922833,0.0,0.0,0.0,0.0,1.0
HasOuterVariableAssignment,2258,0.08104517271922054,0.2729649260630386,0.0,0.0,0.0,0.0,1.0
HasSideEffects,2258,0.35606731620903453,0.4789415102199412,0.0,0.0,0.0,1.0,1.0
IsSideEffect,2258,0.20504871567759078,0.40382664757828785,0.0,0.0,0.0,0.0,1.0
HasSideEffectCalls,2258,0.3038086802480071,0.4600029113919701,0.0,0.0,0.0,1.0,1.0
HasSideEffectFunctions,2258,0.10008857395925598,0.3001845410000139,0.0,0.0,0.0,0.0,1.0
ImperativeScoreBool,2258,1.3224092116917627,2.055422396738865,0.0,0.0,0.0,2.0,8.0
HasPointsBool,2258,0.7519929140832595,0.43195162098782286,0.0,1.0,1.0,1.0,1.0
ParadigmScoreBool,2258,0.45482728077945084,0.6143651721488091,-1.0,0.0,1.0,1.0,1.0
