name,count,mean,std,min,25%,50%,75%,max
IsRecursive,1067,0.00937207122774133,0.09639992179881018,0.0,0.0,0.0,0.0,1.0
IsNested,1067,0.0028116213683223993,0.05297495900260277,0.0,0.0,0.0,0.0,1.0
HasNestedMethods,1067,0.13495782567947517,0.3418387443118759,0.0,0.0,0.0,0.0,1.0
HasFunctions,1067,0.3655107778819119,0.48179892404812896,0.0,0.0,0.0,1.0,1.0
IsFunction,1067,0.031865042174320526,0.1757230801752001,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,1067,0.13120899718837864,0.3377871100283978,0.0,0.0,0.0,0.0,1.0
HasHigherOrderCalls,1067,0.3083411433926898,0.4620248320444573,0.0,0.0,0.0,1.0,1.0
HasFunctionCalls,1067,0.07497656982193064,0.26347702908202386,0.0,0.0,0.0,0.0,1.0
HasCurrying,1067,0.01874414245548266,0.13568365270904004,0.0,0.0,0.0,0.0,1.0
HasPatternMatching,1067,0.2970946579194002,0.45719287196536773,0.0,0.0,0.0,1.0,1.0
HasLazyValues,1067,0.053420805998125584,0.22497657592913728,0.0,0.0,0.0,0.0,1.0
HasMultipleParameterLists,1067,0.24835988753514526,0.4322642399895214,0.0,0.0,0.0,0.0,1.0
FunctionalScoreBool,1067,1.4985941893158388,1.7403574850267256,0.0,0.0,1.0,3.0,8.0
HasVariables,1067,0.044048734770384255,0.2052996470768037,0.0,0.0,0.0,0.0,1.0
HasVariableDefinitions,1067,0.029053420805998126,0.16803506277493432,0.0,0.0,0.0,0.0,1.0
HasInnerVariableAssignment,1067,0.03655107778819119,0.18774485692138745,0.0,0.0,0.0,0.0,1.0
HasOuterVariableUsage,1067,0.016869728209934397,0.1288436990046103,0.0,0.0,0.0,0.0,1.0
HasOuterVariableAssignment,1067,0.007497656982193065,0.08630424576407975,0.0,0.0,0.0,0.0,1.0
HasSideEffects,1067,0.09653233364573571,0.2954583833935513,0.0,0.0,0.0,0.0,1.0
IsSideEffect,1067,0.02717900656044986,0.16268101134980748,0.0,0.0,0.0,0.0,1.0
HasSideEffectCalls,1067,0.08434864104967198,0.2780402846915887,0.0,0.0,0.0,0.0,1.0
HasSideEffectFunctions,1067,0.006560449859418931,0.08076833693009947,0.0,0.0,0.0,0.0,1.0
ImperativeScoreBool,1067,0.34208059981255856,1.129570383169288,0.0,0.0,0.0,0.0,6.0
HasPointsBool,1067,0.5745079662605436,0.4946492462469224,0.0,0.0,1.0,1.0,1.0
ParadigmScoreBool,1067,0.5079662605435802,0.5185872412772542,-1.0,0.0,1.0,1.0,1.0
