name,count,mean,std,min,25%,50%,75%,max
IsRecursive,13156,0.01383399209486166,0.116806035050871,0.0,0.0,0.0,0.0,1.0
IsNested,13156,0.0015962298570994223,0.03992246302295614,0.0,0.0,0.0,0.0,1.0
HasNestedMethods,13156,0.05845241714806932,0.23460587314399872,0.0,0.0,0.0,0.0,1.0
HasFunctions,13156,0.5003800547278808,0.5000188593726073,0.0,0.0,1.0,1.0,1.0
IsFunction,13156,0.056020066889632104,0.2299692129349597,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,13156,0.10071450288841594,0.3009617529089044,0.0,0.0,0.0,0.0,1.0
HasHigherOrderCalls,13156,0.43995135299483124,0.49639992956247064,0.0,0.0,0.0,1.0,1.0
HasFunctionCalls,13156,0.09159318941927637,0.28846178595683447,0.0,0.0,0.0,0.0,1.0
HasCurrying,13156,0.03124049863180298,0.1739736488306209,0.0,0.0,0.0,0.0,1.0
HasPatternMatching,13156,0.32350258437214957,0.46783041632092787,0.0,0.0,0.0,1.0,1.0
HasLazyValues,13156,0.09432958346001824,0.2922978059582262,0.0,0.0,0.0,0.0,1.0
HasMultipleParameterLists,13156,0.23700212830647613,0.4252597626744415,0.0,0.0,0.0,0.0,1.0
FunctionalScoreBool,13156,1.6634995439343265,1.5997270881128538,0.0,0.0,2.0,3.0,7.0
HasVariables,13156,0.020294922468835512,0.14101258821210727,0.0,0.0,0.0,0.0,1.0
HasVariableDefinitions,13156,0.005396777135907571,0.07326704555095957,0.0,0.0,0.0,0.0,1.0
HasInnerVariableAssignment,13156,0.009957433870477348,0.09929266224449164,0.0,0.0,0.0,0.0,1.0
HasOuterVariableUsage,13156,0.01588628762541806,0.12504040119008053,0.0,0.0,0.0,0.0,1.0
HasOuterVariableAssignment,13156,0.011477652782000608,0.10652125960577358,0.0,0.0,0.0,0.0,1.0
HasSideEffects,13156,0.11705685618729098,0.3215002414944645,0.0,0.0,0.0,0.0,1.0
IsSideEffect,13156,0.06628154454241411,0.24878304994795694,0.0,0.0,0.0,0.0,1.0
HasSideEffectCalls,13156,0.07046214654910307,0.2559339980108249,0.0,0.0,0.0,0.0,1.0
HasSideEffectFunctions,13156,0.028884159318941928,0.1674873037522444,0.0,0.0,0.0,0.0,1.0
ImperativeScoreBool,13156,0.3265430221951961,1.014496640793318,0.0,0.0,0.0,0.0,8.0
HasPointsBool,13156,0.6441927637579812,0.47877538632949806,0.0,0.0,1.0,1.0,1.0
ParadigmScoreBool,13156,0.6004864700516874,0.5076500953188823,-1.0,0.0,1.0,1.0,1.0
