name,count,mean,std,min,25%,50%,75%,max
IsRecursive,870,0.04482758620689655,0.2654906744171123,0.0,0.0,0.0,0.0,4.0
IsNested,870,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HasNestedMethods,870,0.05517241379310345,0.2944670521599078,0.0,0.0,0.0,0.0,4.0
HasFunctions,870,0.6206896551724138,1.2938855880960816,0.0,0.0,0.0,1.0,12.0
IsFunction,870,0.11379310344827587,0.652281543093061,0.0,0.0,0.0,0.0,11.0
HasFunctionParameters,870,0.04367816091954023,0.25910403712438057,0.0,0.0,0.0,0.0,3.0
HasHigherOrderCalls,870,0.46781609195402296,1.071977432743581,0.0,0.0,0.0,0.0,12.0
HasFunctionCalls,870,0.03793103448275862,0.2191842703645104,0.0,0.0,0.0,0.0,3.0
HasCurrying,870,0.01954022988505747,0.23665246958384165,0.0,0.0,0.0,0.0,6.0
HasPatternMatching,870,0.4747126436781609,1.103891890147492,0.0,0.0,0.0,1.0,11.0
HasLazyValues,870,0.15632183908045977,0.6425103867689071,0.0,0.0,0.0,0.0,11.0
HasMultipleParameterLists,870,0.08505747126436781,0.389307235067026,0.0,0.0,0.0,0.0,4.0
FunctionalScoreBool,870,2.1195402298850574,3.9780131939621834,0.0,0.0,0.0,2.0,33.0
HasVariables,870,0.26666666666666666,1.5374621285420969,0.0,0.0,0.0,0.0,31.0
HasVariableDefinitions,870,0.047126436781609195,0.27363599604887956,0.0,0.0,0.0,0.0,3.0
HasInnerVariableAssignment,870,0.054022988505747126,0.2966264472079856,0.0,0.0,0.0,0.0,3.0
HasOuterVariableUsage,870,0.22413793103448276,1.5137623752455993,0.0,0.0,0.0,0.0,31.0
HasOuterVariableAssignment,870,0.1206896551724138,0.9427377230743256,0.0,0.0,0.0,0.0,21.0
HasSideEffects,870,0.8574712643678161,1.8500540958040077,0.0,0.0,0.0,1.0,21.0
IsSideEffect,870,0.47126436781609193,1.3956951772657338,0.0,0.0,0.0,0.0,21.0
HasSideEffectCalls,870,0.6080459770114942,1.5594633633956223,0.0,0.0,0.0,1.0,21.0
HasSideEffectFunctions,870,0.08505747126436781,0.35853195610951266,0.0,0.0,0.0,0.0,3.0
ImperativeScoreBool,870,2.7344827586206897,8.1807589180671,0.0,0.0,0.0,2.0,146.0
HasPointsBool,870,1.6563218390804597,2.776326071549212,0.0,0.0,1.0,2.0,34.0
ParadigmScoreBool,870,0.18045977011494252,2.086359837563357,-31.0,0.0,0.0,1.0,11.0
