name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
IsRecursive,43,14,29,32.55813953488372,0.45366169799092676
IsNested,124,38,86,30.64516129032258,1.2313674659753726
HasNestedMethods,138,88,50,63.76811594202898,2.851587815942968
HasFunctions,3492,1131,2361,32.38831615120275,36.64938431626702
IsFunction,156,34,122,21.794871794871796,1.1017498379779649
HasFunctionParameters,455,100,355,21.978021978021978,3.240440699935191
HasHigherOrderCalls,3078,1033,2045,33.56075373619233,33.47375243033052
HasFunctionCalls,311,84,227,27.009646302250808,2.7219701879455602
HasCurrying,43,10,33,23.25581395348837,0.32404406999351915
HasPatternMatching,1528,867,661,56.74083769633508,28.09462086843811
HasLazyValues,258,92,166,35.65891472868217,2.9812054439403757
HasMultipleParameterLists,1524,684,840,44.881889763779526,22.164614387556707
FunctionalScoreBool,5221,1953,3268,37.4066270829343,63.28580686973429
HasVariables,119,22,97,18.487394957983195,0.712896953985742
HasVariableDefinitions,25,10,15,40.0,0.32404406999351915
HasInnerVariableAssignment,51,19,32,37.254901960784316,0.6156837329876863
HasOuterVariableUsage,95,13,82,13.684210526315791,0.42125729099157483
HasOuterVariableAssignment,42,7,35,16.666666666666664,0.22683084899546338
HasSideEffects,587,170,417,28.960817717206133,5.508749189889825
IsSideEffect,270,51,219,18.88888888888889,1.6526247569669477
HasSideEffectCalls,348,94,254,27.011494252873565,3.04601425793908
HasSideEffectFunctions,108,26,82,24.074074074074073,0.8425145819831497
ImperativeScoreBool,646,184,462,28.482972136222912,5.962410887880751
HasPointsBool,5435,1988,3447,36.577736890524385,64.4199611147116
ParadigmScoreBool,5003,1839,3164,36.75794523286029,59.59170447180817
