name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
IsRecursive,80,0,80,0.0,0.0
IsNested,83,5,78,6.024096385542169,2.314814814814815
HasNestedMethods,309,19,290,6.148867313915858,8.796296296296296
HasFunctions,1371,100,1271,7.293946024799417,46.2962962962963
IsFunction,24,0,24,0.0,0.0
HasFunctionParameters,182,14,168,7.6923076923076925,6.481481481481481
HasHigherOrderCalls,1304,96,1208,7.361963190184049,44.44444444444444
HasFunctionCalls,126,15,111,11.904761904761903,6.944444444444445
HasPatternMatching,1142,118,1024,10.332749562171628,54.629629629629626
HasLazyValues,29,5,24,17.24137931034483,2.314814814814815
HasMultipleParameterLists,1480,104,1376,7.027027027027027,48.148148148148145
FunctionalScoreBool,2852,192,2660,6.732117812061711,88.88888888888889
HasVariables,129,21,108,16.27906976744186,9.722222222222223
HasVariableDefinitions,65,6,59,9.230769230769232,2.7777777777777777
HasInnerVariableAssignment,78,7,71,8.974358974358974,3.2407407407407405
HasOuterVariableUsage,65,15,50,23.076923076923077,6.944444444444445
HasOuterVariableAssignment,35,2,33,5.714285714285714,0.9259259259259258
HasSideEffects,1148,110,1038,9.581881533101045,50.92592592592593
IsSideEffect,740,73,667,9.864864864864865,33.7962962962963
HasSideEffectCalls,628,68,560,10.828025477707007,31.48148148148148
HasSideEffectFunctions,182,32,150,17.582417582417584,14.814814814814813
ImperativeScoreBool,1162,111,1051,9.552495697074011,51.388888888888886
HasPointsBool,3114,205,2909,6.583172768143866,94.9074074074074
ParadigmScoreBool,2214,107,2107,4.832881662149955,49.53703703703704
