name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
IsRecursive,23,0,23,0.0,0.0
IsNested,196,12,184,6.122448979591836,10.256410256410255
HasNestedMethods,220,19,201,8.636363636363637,16.23931623931624
HasFunctions,1068,61,1007,5.711610486891386,52.13675213675214
IsFunction,85,2,83,2.3529411764705883,1.7094017094017095
HasFunctionParameters,358,18,340,5.027932960893855,15.384615384615385
HasHigherOrderCalls,807,50,757,6.195786864931847,42.73504273504273
HasFunctionCalls,142,2,140,1.4084507042253522,1.7094017094017095
HasCurrying,46,0,46,0.0,0.0
HasPatternMatching,731,72,659,9.849521203830369,61.53846153846154
HasLazyValues,83,8,75,9.63855421686747,6.837606837606838
HasMultipleParameterLists,778,50,728,6.426735218508997,42.73504273504273
FunctionalScoreBool,1984,105,1879,5.29233870967742,89.74358974358975
HasVariables,66,10,56,15.151515151515152,8.547008547008547
HasVariableDefinitions,37,10,27,27.027027027027028,8.547008547008547
HasInnerVariableAssignment,49,10,39,20.408163265306122,8.547008547008547
HasOuterVariableUsage,27,0,27,0.0,0.0
HasOuterVariableAssignment,11,0,11,0.0,0.0
HasSideEffects,161,6,155,3.7267080745341614,5.128205128205128
IsSideEffect,45,0,45,0.0,0.0
HasSideEffectCalls,138,10,128,7.246376811594203,8.547008547008547
HasSideEffectFunctions,9,3,6,33.33333333333333,2.564102564102564
ImperativeScoreBool,176,10,166,5.681818181818182,8.547008547008547
HasPointsBool,2041,105,1936,5.1445369916707495,89.74358974358975
ParadigmScoreBool,1922,95,1827,4.94276795005203,81.19658119658119
