name,count,percentage_faulty mean,percentage_faulty std,percentage_total_faults mean,percentage_total_faults std
FunctionalScoreBool,9,24.915399752555853,22.001757459364576,85.1769635452294,6.590222494873354
HasCurrying,8,29.45737572106185,19.936237783781703,9.856541513227114,9.707023690260806
HasFunctionCalls,9,31.858407481887046,24.94376076384274,26.220186049714634,14.873026647875559
HasFunctionParameters,9,32.73175055137122,24.490352045252706,25.731140039187288,12.434448655501713
HasFunctions,9,26.943753069396188,22.082439565700806,72.32946714216581,6.640663892811722
HasHigherOrderCalls,9,29.372097480381072,22.799982026179375,69.22986612874564,7.800184834681682
HasInnerVariableAssignment,9,40.50560594542135,25.21968186933152,15.095192791119066,8.606618591895325
HasLazyValues,9,44.91302015022516,32.013890338204085,13.92190925219601,14.593078119963785
HasMultipleParameterLists,9,34.10564036517766,28.23349417185965,39.944454276161316,18.02830898186161
HasNestedMethods,9,43.054287769976234,29.274667953383293,38.19139148833537,14.505423521695265
HasOuterVariableAssignment,9,29.468912504077668,26.249369048536924,10.081924617563793,14.67905646107972
HasOuterVariableUsage,9,30.49554931576472,25.24985015866962,15.102022176668605,14.19669429730638
HasPatternMatching,9,33.363785925852014,25.00785278414826,67.70574898034872,12.206869244945164
HasPointsBool,9,23.718355882518026,21.469911358113087,88.78595225033406,5.775267053301122
HasSideEffectCalls,9,34.35784462016456,26.808708538131004,47.048194071090705,22.46490868703889
HasSideEffectFunctions,9,48.233159446037966,28.185032093894236,22.26981383919237,12.712456760912215
HasSideEffects,9,30.66660344554709,25.85115593168727,56.18738140266597,25.450395110495954
HasVariableDefinitions,9,43.745559865825925,27.868284351346922,14.815571905731328,8.472544448200704
HasVariables,9,37.04271473622532,24.62647459390716,25.717620738913823,14.761813461555215
ImperativeScoreBool,9,31.14685628569045,25.749339461893516,57.577671321082526,24.41760443105579
IsFunction,9,22.623314060358936,20.931898999181595,7.503608189416612,6.833467204618157
IsNested,3,44.444444444444436,50.91750772173156,0.45012268469875605,0.5277418690923439
IsRecursive,9,40.43532745852859,28.32151213769454,11.870285194166966,11.723453228875805
IsSideEffect,9,29.97997094936011,25.136834588861586,30.82347306391005,20.880731649451892
ParadigmScoreBool,9,23.76550751070276,21.25467933289098,73.58936142728305,21.103185091468056
