name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
IsRecursive,9,5,4,55.55555555555556,1.7123287671232876
HasNestedMethods,74,42,32,56.75675675675676,14.383561643835616
HasFunctions,567,205,362,36.15520282186949,70.2054794520548
IsFunction,95,38,57,40.0,13.013698630136986
HasFunctionParameters,141,48,93,34.04255319148936,16.43835616438356
HasHigherOrderCalls,484,186,298,38.429752066115704,63.6986301369863
HasFunctionCalls,141,63,78,44.680851063829785,21.575342465753426
HasCurrying,102,40,62,39.21568627450981,13.698630136986301
HasPatternMatching,266,124,142,46.616541353383454,42.465753424657535
HasLazyValues,20,9,11,45.0,3.0821917808219177
HasMultipleParameterLists,70,29,41,41.42857142857143,9.931506849315069
FunctionalScoreBool,665,228,437,34.285714285714285,78.08219178082192
HasVariables,104,44,60,42.30769230769231,15.068493150684931
HasVariableDefinitions,33,17,16,51.515151515151516,5.821917808219178
HasInnerVariableAssignment,44,25,19,56.81818181818182,8.561643835616438
HasOuterVariableUsage,79,31,48,39.24050632911392,10.616438356164384
HasOuterVariableAssignment,60,21,39,35.0,7.191780821917808
HasSideEffects,315,139,176,44.12698412698413,47.6027397260274
IsSideEffect,184,74,110,40.21739130434783,25.34246575342466
HasSideEffectCalls,268,129,139,48.134328358208954,44.178082191780824
HasSideEffectFunctions,72,46,26,63.888888888888886,15.753424657534246
ImperativeScoreBool,320,140,180,43.75,47.94520547945205
HasPointsBool,759,248,511,32.674571805006586,84.93150684931507
ParadigmScoreBool,588,175,413,29.761904761904763,59.93150684931506
