name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
IsRecursive,15,5,10,33.33333333333333,8.47457627118644
HasNestedMethods,108,26,82,24.074074074074073,44.06779661016949
HasFunctions,286,29,257,10.13986013986014,49.152542372881356
IsFunction,50,11,39,22.0,18.64406779661017
HasFunctionParameters,96,17,79,17.708333333333336,28.8135593220339
HasHigherOrderCalls,232,29,203,12.5,49.152542372881356
HasFunctionCalls,76,15,61,19.736842105263158,25.423728813559322
HasCurrying,23,6,17,26.08695652173913,10.16949152542373
HasPatternMatching,215,31,184,14.418604651162791,52.54237288135594
HasLazyValues,5,1,4,20.0,1.694915254237288
HasMultipleParameterLists,162,22,140,13.580246913580247,37.28813559322034
FunctionalScoreBool,407,39,368,9.582309582309582,66.10169491525424
HasVariables,62,17,45,27.419354838709676,28.8135593220339
HasVariableDefinitions,31,15,16,48.38709677419355,25.423728813559322
HasInnerVariableAssignment,53,19,34,35.84905660377358,32.20338983050847
HasOuterVariableUsage,45,8,37,17.77777777777778,13.559322033898304
HasOuterVariableAssignment,21,1,20,4.761904761904762,1.694915254237288
HasSideEffects,176,33,143,18.75,55.932203389830505
IsSideEffect,62,12,50,19.35483870967742,20.33898305084746
HasSideEffectCalls,117,26,91,22.22222222222222,44.06779661016949
HasSideEffectFunctions,25,7,18,28.000000000000004,11.864406779661017
ImperativeScoreBool,190,37,153,19.473684210526315,62.71186440677966
HasPointsBool,447,46,401,10.290827740492169,77.96610169491525
ParadigmScoreBool,387,43,344,11.11111111111111,72.88135593220339
