name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,2944,30,468,10,-0.20929224829976945,25.0,2.092050209205021,0.03496244398093342
IsNested,2867,107,450,28,-0.35256181185335667,20.74074074074074,5.857740585774058,0.04026545440934895
HasNestedMethods,2913,61,439,39,-0.2141488436744674,39.0,8.158995815899582,0.12578340938752072
HasFunctions,1806,1168,249,229,-2.4408978229734406,16.39226914817466,47.90794979079498,0.060758165004131705
IsFunction,2252,722,371,107,-1.6541293722723855,12.907117008443908,22.384937238493723,-0.015298862742937356
HasFunctionParameters,385,2589,38,440,-5.379138024665652,14.526246285902939,92.05020920502092,0.052621616700489295
HasHigherOrderCalls,2044,930,275,203,-1.9260987132554663,17.917034421888793,42.46861924686193,0.0823652834480271
HasFunctionCalls,2802,172,446,32,-0.5006879707816416,15.686274509803921,6.694560669456067,0.013345329814600114
HasCurrying,217,2757,28,450,-5.762809059266783,14.03180542563143,94.14225941422593,0.01935357942307885
HasPatternMatching,2615,359,345,133,-0.7095215718936501,27.03252032520325,27.824267782426777,0.1556391450747832
HasLazyValues,2363,611,384,94,-1.4161561989121902,13.333333333333334,19.665271966527197,-0.007534790403220826
HasMultipleParameterLists,2778,196,440,38,-0.5443973291539226,16.23931623931624,7.949790794979079,0.018677194860289875
FunctionalScoreBool,1769,1205,227,251,-2.4773222882836747,17.23901098901099,52.51046025104602,0.08387610219021212
HasVariables,2768,206,431,47,-0.5468256268412715,18.57707509881423,9.832635983263598,0.038512648325628326
HasVariableDefinitions,2935,39,466,12,-0.22629033211121197,23.52941176470588,2.510460251046025,0.03432809075489415
HasInnerVariableAssignment,2929,45,459,19,-0.2238620344238631,29.6875,3.9748953974895396,0.0630336258648039
HasOuterVariableUsage,2797,177,444,34,-0.5079728638436884,16.113744075829384,7.112970711297072,0.016744874606969662
HasOuterVariableAssignment,2875,99,458,20,-0.35256181185335667,16.80672268907563,4.184100418410042,0.016191480872081696
HasSideEffects,2329,645,306,172,-1.309311100668837,21.052631578947366,35.98326359832636,0.11616529628174163
IsSideEffect,2533,441,392,86,-1.0227719735616625,16.318785578747626,17.99163179916318,0.030376069859234828
HasSideEffectCalls,2539,435,321,157,-0.8357930516357948,26.52027027027027,32.84518828451883,0.16693651449893102
HasSideEffectFunctions,2922,52,430,48,-0.17043948530218667,48.0,10.0418410041841,0.17079007731551046
ImperativeScoreBool,2291,683,304,174,-1.3967298174133989,20.30338389731622,36.40167364016737,0.10742228654801078
HasPointsBool,1079,1895,111,367,-3.8711651608219633,16.224580017683465,76.77824267782427,0.09490433786492124
ParadigmScoreBool,1762,1212,285,193,-2.6351616379613554,13.736654804270461,40.37656903765691,-0.002647871181951309
