name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,918,28,37,12,-0.3952409716529315,30.0,24.489795918367346,0.23716754146873942
IsNested,946,0,49,0,-0.051797040169133,0.0,0.0,0.0
HasNestedMethods,878,68,37,12,-1.2538508003624278,15.0,24.489795918367346,0.13768138291765994
HasFunctions,720,226,26,23,-4.409241920869827,9.236947791164658,46.93877551020408,0.11513866346826046
IsFunction,6,940,0,49,-19.177330974673165,4.954499494438827,100.0,0.017726783931922303
HasFunctionParameters,66,880,6,43,-18.018207705915344,4.658721560130011,87.75510204081633,-0.043998204369968694
HasHigherOrderCalls,735,211,25,24,-4.065797989386028,10.212765957446807,48.97959183673469,0.13589697360688638
HasFunctionCalls,889,57,38,11,-1.039198343185054,16.176470588235293,22.448979591836736,0.14083736730942487
HasCurrying,374,572,21,28,-11.728890710618284,4.666666666666667,57.14285714285714,-0.014692744944312695
HasPatternMatching,755,191,23,26,-3.593562583595806,11.981566820276496,53.06122448979592,0.17224086343348277
HasLazyValues,918,28,32,17,-0.2879147430642446,37.77777777777778,34.69387755102041,0.3304463848628883
HasMultipleParameterLists,808,138,29,20,-2.5846960348621475,12.658227848101266,40.816326530612244,0.15528419620220163
FunctionalScoreBool,736,210,22,27,-3.9799370065150788,11.39240506329114,55.10204081632652,0.1671376965619725
HasVariables,884,62,29,20,-0.9533373603141042,24.390243902439025,40.816326530612244,0.26959961552055395
HasVariableDefinitions,817,129,42,7,-2.670557017733097,5.147058823529411,14.285714285714285,0.004090315908400356
HasInnerVariableAssignment,819,127,42,7,-2.627626526297622,5.223880597014925,14.285714285714285,0.00545601194625389
HasOuterVariableUsage,911,35,35,14,-0.5025672002416186,28.57142857142857,28.57142857142857,0.24871639987919059
HasOuterVariableAssignment,905,41,36,13,-0.6528239202657804,24.074074074074073,26.53061224489796,0.2120009794485919
HasSideEffects,737,209,18,31,-3.8726107779263916,12.916666666666668,63.26530612244898,0.208242543375262
IsSideEffect,830,116,30,19,-2.1339258747896617,14.074074074074074,38.775510204081634,0.16752983655991135
HasSideEffectCalls,755,191,21,28,-3.550632092160331,12.785388127853881,57.14285714285714,0.19299030083458868
HasSideEffectFunctions,896,50,33,16,-0.7816153945722049,24.242424242424242,32.6530612244898,0.23795852818742136
ImperativeScoreBool,740,206,20,29,-3.8511455322086547,12.340425531914894,59.183673469387756,0.19057448623885237
HasPointsBool,601,345,16,33,-6.748953704103204,8.73015873015873,67.3469387755102,0.13765708891444145
ParadigmScoreBool,515,431,35,14,-9.002804504465633,3.146067415730337,28.57142857142857,-0.07393423847881088
