name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,530,138,48,11,-2.4309854866538116,7.38255033557047,18.64406779661017,-0.013628536196037443
IsNested,668,0,59,0,-0.08832335329341334,0.0,0.0,0.0
HasNestedMethods,587,81,36,23,-1.15820054805643,22.115384615384613,38.983050847457626,0.20946715412803768
HasFunctions,410,258,38,21,-4.460062924997463,7.526881720430108,35.59322033898305,-0.01701174958016655
IsFunction,629,39,49,10,-0.6232619506749215,20.408163265306122,16.94915254237288,0.12101740086233063
HasFunctionParameters,592,76,44,15,-1.2135390236476202,16.483516483516482,25.423728813559322,0.11591311856912745
HasHigherOrderCalls,488,180,33,26,-2.9290317669745263,12.62135922330097,44.06779661016949,0.10375484000313627
HasFunctionCalls,219,449,31,28,-7.854156094590481,5.870020964360587,47.45762711864407,-0.11358650684535454
HasCurrying,651,17,53,6,-0.2912310971277785,26.08695652173913,10.16949152542373,0.11895425782456714
HasPatternMatching,504,164,35,24,-2.6707855475489706,12.76595744680851,40.67796610169492,0.10057645967691291
HasLazyValues,69,599,7,52,-10.178372069420483,7.987711213517665,88.13559322033898,-0.013700734397363872
HasMultipleParameterLists,541,127,42,17,-2.117400791637065,11.805555555555555,28.8135593220339,0.06715756601490905
FunctionalScoreBool,469,199,34,25,-3.297954937582463,11.160714285714286,42.3728813559322,0.07441695054329067
HasVariables,623,45,47,12,-0.6970465847965088,21.052631578947366,20.33898305084746,0.138183675763747
HasVariableDefinitions,652,16,46,13,-0.14366182888460388,44.827586206896555,22.033898305084744,0.2740312005348085
HasInnerVariableAssignment,634,34,45,14,-0.4572465239013501,29.166666666666668,23.728813559322035,0.20496569576563395
HasOuterVariableUsage,455,213,42,17,-3.703770425251193,7.391304347826087,28.8135593220339,-0.018042129416987466
HasOuterVariableAssignment,20,648,1,58,-10.971556886227546,8.21529745042493,98.30508474576271,0.02118086665078013
HasSideEffects,544,124,39,20,-2.006723840454684,13.88888888888889,33.89830508474576,0.10507386202280877
IsSideEffect,619,49,48,11,-0.7892773774484931,18.333333333333332,18.64406779661017,0.1122250622254862
HasSideEffectCalls,579,89,41,18,-1.3980006089515888,16.822429906542055,30.508474576271187,0.13245827805351243
HasSideEffectFunctions,18,650,6,53,-11.100679995940325,7.539118065433854,89.83050847457628,-0.1142444791655116
ImperativeScoreBool,564,104,42,17,-1.693139145437938,14.049586776859504,28.8135593220339,0.09710179733834624
HasPointsBool,392,276,23,36,-4.515401400588654,11.538461538461538,61.016949152542374,0.10868508373149276
ParadigmScoreBool,275,393,29,30,-6.784278899827465,7.092198581560284,50.847457627118644,-0.04420542093268271
