name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,9,881,0,74,-11.89529304585484,7.74869109947644,100.0,0.027992418695808294
IsNested,890,0,74,0,-0.08314606741573005,0.0,0.0,0.0
HasNestedMethods,810,80,51,23,-0.9174612815062249,22.330097087378643,31.08108108108108,0.19038465531715693
HasFunctions,627,263,37,37,-3.3911327057394463,12.333333333333334,50.0,0.11758382332371639
IsFunction,694,196,58,16,-2.7178256908593976,7.547169811320755,21.62162162162162,-0.0025764173370706666
HasFunctionParameters,786,104,57,17,-1.3565745520801693,14.049586776859504,22.972972972972975,0.09069956853693298
HasHigherOrderCalls,660,230,41,33,-2.9666565441846333,12.547528517110266,44.5945945945946,0.1120777003031816
HasFunctionCalls,67,823,7,67,-11.148800485879134,7.528089887640449,90.54054054054053,-0.0193136957181901
HasCurrying,19,871,1,73,-11.763559064682656,7.733050847457627,98.64864864864865,0.014633150640757065
HasPatternMatching,706,184,38,36,-2.24943820224719,16.363636363636363,48.64864864864865,0.17744969351434717
HasLazyValues,854,36,53,21,-0.3027027027027023,36.84210526315789,28.37837837837838,0.2746459529498737
HasMultipleParameterLists,718,172,41,33,-2.117704221075007,16.097560975609756,44.5945945945946,0.1643981159191022
FunctionalScoreBool,657,233,38,36,-2.9666565441846333,13.382899628252787,48.64864864864865,0.13335939527733062
HasVariables,861,29,52,22,-0.1856058305496504,43.13725490196079,29.72972972972973,0.3148224552914338
HasVariableDefinitions,873,17,69,5,-0.25879137564530796,22.727272727272727,6.756756756756757,0.08640029547202956
HasInnerVariableAssignment,867,23,67,7,-0.3173398117218338,23.333333333333332,9.45945945945946,0.10540506721069842
HasOuterVariableUsage,875,15,56,18,-0.03923474035833552,54.54545454545454,24.324324324324326,0.33146293366884577
HasOuterVariableAssignment,882,8,57,17,0.04858791375645333,68.0,22.972972972972975,0.3697353720299915
HasSideEffects,819,71,48,26,-0.741815973276647,26.804123711340207,35.13513513513514,0.2403294249837625
IsSideEffect,26,864,2,72,-11.675736410567868,7.6923076923076925,97.2972972972973,0.0034660489263082504
HasSideEffectCalls,834,56,49,25,-0.5368964470088062,30.864197530864196,33.78378378378378,0.263808504292216
HasSideEffectFunctions,885,5,72,2,-0.12705739447312459,28.57142857142857,2.7027027027027026,0.06712793082914742
ImperativeScoreBool,825,65,51,23,-0.6979046462192526,26.136363636363637,31.08108108108108,0.21977966414030162
HasPointsBool,573,317,21,53,-3.947342848466443,14.324324324324325,71.62162162162163,0.19708938693435893
ParadigmScoreBool,529,361,37,37,-4.825569389614332,9.296482412060302,50.0,0.05103291676652463
