name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,989,156,222,39,-0.7784068664357779,20.0,14.942528735632186,0.014827693715263135
IsNested,115,1030,26,235,-3.9682477538523315,18.57707509881423,90.03831417624522,0.001061178074582293
HasNestedMethods,1020,125,180,81,-0.43495792133045574,39.32038834951456,31.03448275862069,0.22119318476985997
HasFunctions,788,357,128,133,-1.2818183339189213,27.142857142857142,50.95785440613027,0.1613903230083693
IsFunction,9,1136,2,259,-4.354039719587077,18.566308243727597,99.23371647509579,0.000871255571324237
HasFunctionParameters,1071,74,222,39,-0.39261490070103244,34.51327433628318,14.942528735632186,0.12127248246007506
HasHigherOrderCalls,817,328,132,129,-1.1641988321705234,28.227571115973742,49.42528735632184,0.1724870187731002
HasFunctionCalls,948,197,186,75,-0.8019307667854574,27.573529411764707,28.735632183908045,0.1134948330534562
HasCurrying,232,913,58,203,-3.5683414479077786,18.189964157706093,77.77777777777779,-0.018836285920822978
HasPatternMatching,804,341,137,124,-1.24888487342937,26.666666666666668,47.509578544061306,0.1465073697043474
HasLazyValues,1100,45,217,44,-0.23265237832321106,49.43820224719101,16.85823754789272,0.20642867680323643
HasMultipleParameterLists,1037,108,207,54,-0.48200572202981484,33.33333333333333,20.689655172413794,0.1370853710923827
FunctionalScoreBool,800,345,122,139,-1.1971322926600747,28.719008264462808,53.25670498084292,0.18924732723315443
HasVariables,1035,110,200,61,-0.4584818216801352,35.67251461988304,23.371647509578544,0.16374082364685258
HasVariableDefinitions,462,683,117,144,-2.7638240559487364,17.412333736396615,55.172413793103445,-0.03537842088761201
HasInnerVariableAssignment,461,684,120,141,-2.78264317622848,17.09090909090909,54.02298850574713,-0.04512574667599111
HasOuterVariableUsage,1082,63,213,48,-0.298519299302314,43.24324324324324,18.39080459770115,0.1858373838373559
HasOuterVariableAssignment,1099,46,231,30,-0.3032240793722498,39.473684210526315,11.494252873563218,0.12855983579958455
HasSideEffects,842,303,141,120,-1.0889223510515484,28.368794326241137,45.97701149425287,0.1654341768527267
IsSideEffect,942,203,176,85,-0.7831116465057137,29.51388888888889,32.56704980842912,0.1429470294991239
HasSideEffectCalls,914,231,154,107,-0.8113403269253292,31.65680473372781,40.99616858237548,0.1894484046020342
HasSideEffectFunctions,1054,91,206,55,-0.39731968077096824,37.67123287671233,21.0727969348659,0.16728892206827845
ImperativeScoreBool,855,290,140,121,-1.023055430072446,29.44038929440389,46.36015325670498,0.17979780372236315
HasPointsBool,620,525,99,162,-1.9357827636400144,23.580786026200872,62.06896551724138,0.12614278243262567
ParadigmScoreBool,711,434,143,118,-1.714658100353026,21.3768115942029,45.21072796934866,0.05817703912807345
