name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,11568,266,1879,189,-0.2184914365028281,41.53846153846154,9.13926499032882,0.13782775443082482
IsNested,11834,0,2068,0,-0.17475071826939326,0.0,0.0,0.0
HasNestedMethods,10337,1497,1600,468,-0.7592857710252954,23.81679389312977,22.63056092843327,0.10194536692359597
HasFunctions,8456,3378,1010,1058,-1.4926528780300279,23.850315599639316,51.160541586073506,0.17265195728167354
IsFunction,2792,9042,612,1456,-4.484063556176364,13.869308439702802,70.40618955512572,-0.04965925724060529
HasFunctionParameters,11162,672,1696,372,-0.34516910099706144,35.63218390804598,17.988394584139265,0.16620976762817605
HasHigherOrderCalls,9519,2315,1082,986,-0.9297041537529636,29.86973644350197,47.678916827852994,0.23513012225205404
HasFunctionCalls,7665,4169,1307,761,-2.1107035460557046,15.43610547667343,36.79883945841393,0.011676908344528338
HasCurrying,11382,452,1845,223,-0.3048367504181799,33.03703703703704,10.783365570599614,0.11529452130178786
HasPatternMatching,9463,2371,1131,937,-0.9893505877076476,28.32527206771463,45.30947775628626,0.21120396604650266
HasLazyValues,11376,458,1831,237,-0.30029226021210875,34.10071942446043,11.460348162475823,0.12393573731430482
HasMultipleParameterLists,11244,590,1698,370,-0.29972419893634994,38.54166666666667,17.891682785299807,0.181133182302126
FunctionalScoreBool,8117,3717,968,1100,-1.6613670769304192,22.83578991073282,53.191489361702125,0.16288753122676605
HasVariables,9046,2788,1255,813,-1.296671737893209,22.577061927242433,39.313346228239844,0.12796278173593198
HasVariableDefinitions,10965,869,1787,281,-0.508770748415623,24.434782608695652,13.588007736943908,0.08067123259746177
HasInnerVariableAssignment,11332,502,1835,233,-0.3275592014485358,31.700680272108844,11.266924564796906,0.11171068859787947
HasOuterVariableUsage,9120,2714,1278,790,-1.2677006128295059,22.54566210045662,38.20116054158607,0.1251251654729895
HasOuterVariableAssignment,9685,2149,1397,671,-1.0143452838410387,23.79432624113475,32.4468085106383,0.12643188706449066
HasSideEffects,7028,4806,1003,1065,-2.2998679508834163,18.14001021972407,51.499032882011605,0.07843643531669285
IsSideEffect,7757,4077,1199,869,-1.997091290903926,17.569753336029116,42.02127659574468,0.05626462295240303
HasSideEffectCalls,7693,4141,1056,1012,-1.9522144501189733,19.639045216378808,48.93617021276596,0.10273351543774047
HasSideEffectFunctions,10948,886,1474,594,-0.34062461079099027,40.13513513513514,28.723404255319153,0.24501767508928488
ImperativeScoreBool,7252,4582,1026,1042,-2.1856876344558787,18.52773826458037,50.38684719535783,0.08459573096482595
HasPointsBool,6138,5696,848,1220,-2.717392988566204,17.640254482359747,58.99419729206963,0.07730311218736384
ParadigmScoreBool,3995,7839,789,1279,-3.901232687247739,14.027198947137531,61.84719535783365,-0.03291318206071643
