name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,1060,36,55,17,-0.34691808596918117,32.075471698113205,23.61111111111111,0.23488618282557455
IsNested,1096,0,72,0,-0.06569343065693456,0.0,0.0,0.0
HasNestedMethods,1016,80,52,20,-0.9537712895377133,20.0,27.77777777777778,0.1760289931083257
HasFunctions,810,286,44,28,-3.8844282238442833,8.9171974522293,38.88888888888889,0.06940392906312999
IsFunction,8,1088,0,72,-15.103811841038123,6.206896551724138,100.0,0.021285162495541722
HasFunctionParameters,163,933,17,55,-13.061232765612331,5.566801619433198,76.38888888888889,-0.05821179653157589
HasHigherOrderCalls,837,259,43,29,-3.4699918896999202,10.069444444444445,40.27777777777778,0.09288680707341317
HasFunctionCalls,941,155,56,16,-2.1230738037307386,9.35672514619883,22.22222222222222,0.05497068499013019
HasCurrying,980,116,65,7,-1.6790348742903496,5.691056910569105,9.722222222222223,-0.00675191064942361
HasPatternMatching,863,233,31,41,-2.9075425790754266,14.963503649635038,56.94444444444444,0.20254292820416245
HasLazyValues,1051,45,50,22,-0.40612327656123304,32.83582089552239,30.555555555555557,0.27356559661611146
HasMultipleParameterLists,912,184,50,22,-2.463503649635037,10.679611650485436,30.555555555555557,0.08687545365426877
FunctionalScoreBool,845,251,38,34,-3.2775750202757514,11.929824561403509,47.22222222222222,0.13619022202018163
HasVariables,1013,83,45,27,-0.8945660989456614,24.545454545454547,37.5,0.24643116968775
HasVariableDefinitions,1054,42,59,13,-0.49493106244931107,23.636363636363637,18.055555555555554,0.16149058427307883
HasInnerVariableAssignment,1055,41,59,13,-0.4801297648012981,24.074074074074073,18.055555555555554,0.163950853958218
HasOuterVariableUsage,1043,53,50,22,-0.524533657745337,29.333333333333332,30.555555555555557,0.2523470407988764
HasOuterVariableAssignment,1031,65,48,24,-0.6725466342254667,26.96629213483146,33.33333333333333,0.24840411257473682
HasSideEffects,816,280,29,43,-3.573600973236011,13.312693498452013,59.72222222222222,0.1837585683246672
IsSideEffect,950,146,35,37,-1.6790348742903496,20.21857923497268,51.388888888888886,0.25187481408873774
HasSideEffectCalls,840,256,31,41,-3.247972424979725,13.804713804713806,56.94444444444444,0.1855037081495573
HasSideEffectFunctions,1021,75,49,23,-0.8353609083536095,23.46938775510204,31.944444444444443,0.21775301420532964
ImperativeScoreBool,831,265,30,42,-3.366382806163829,13.680781758957655,58.333333333333336,0.18661592818136855
HasPointsBool,667,429,19,53,-5.630981346309815,10.995850622406639,73.61111111111111,0.16838825708727384
ParadigmScoreBool,438,658,37,35,-9.286901865369021,5.05050505050505,48.61111111111111,-0.05594083642413459
