name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,1491,65,96,26,-0.42314256816553586,28.57142857142857,21.311475409836063,0.19644310339189597
IsNested,1556,0,122,0,-0.07840616966580982,0.0,0.0,0.0
HasNestedMethods,1302,254,63,59,-1.8020881621644405,18.849840255591054,48.36065573770492,0.21354757603083205
HasFunctions,969,587,55,67,-4.674891482995491,10.244648318042813,54.91803278688525,0.09153769534322037
IsFunction,1184,372,93,29,-3.1103185974967342,7.231920199501247,23.770491803278688,-0.0008339134938466071
HasFunctionParameters,1258,298,76,46,-2.30593366766404,13.372093023255813,37.704918032786885,0.11932941289670938
HasHigherOrderCalls,1070,486,52,70,-3.7555944203295546,12.589928057553957,57.377049180327866,0.14421427056384198
HasFunctionCalls,475,1081,60,62,-9.08574950482532,5.42432195975503,50.81967213114754,-0.10393006738891468
HasCurrying,1507,49,102,20,-0.3347486198322729,28.985507246376812,16.39344262295082,0.17318590482977664
HasPatternMatching,1166,390,67,55,-3.039603438830124,12.359550561797752,45.08196721311475,0.11774360839650891
HasLazyValues,160,1396,13,109,-11.454707320156771,7.2425249169435215,89.34426229508196,-0.0031846172594943946
HasMultipleParameterLists,1221,335,75,47,-2.624151881663787,12.30366492146597,38.52459016393443,0.10523795324424931
FunctionalScoreBool,985,571,51,71,-4.498103586328965,11.059190031152648,58.19672131147541,0.11486218056251048
HasVariables,1469,87,100,22,-0.65296683383202,20.18348623853211,18.0327868852459,0.1310791709341879
HasVariableDefinitions,1515,41,99,23,-0.2375152766656834,35.9375,18.852459016393443,0.21985016767850646
HasInnerVariableAssignment,1478,78,99,23,-0.5645728854987568,22.772277227722775,18.852459016393443,0.15108866721750847
HasOuterVariableUsage,196,1360,20,102,-11.198364869990309,6.976744186046512,83.60655737704919,-0.029439437279705792
HasOuterVariableAssignment,18,1538,2,120,-12.612668043322518,7.237635705669482,98.36065573770492,-0.01154525424089445
HasSideEffects,1238,318,66,56,-2.394327615997303,14.973262032085561,45.90163934426229,0.15887199078405567
IsSideEffect,1449,107,102,20,-0.8474335201651988,15.748031496062993,16.39344262295082,0.09342638286531792
HasSideEffectCalls,1386,170,91,31,-1.307082051498167,15.422885572139302,25.40983606557377,0.11582345909507498
HasSideEffectFunctions,1497,59,95,27,-0.3612668043322518,31.3953488372093,22.131147540983605,0.21594763692031538
ImperativeScoreBool,1317,239,84,38,-1.8551245311643982,13.718411552346572,31.147540983606557,0.11041881425445856
HasPointsBool,850,706,39,83,-5.585349150828101,10.519645120405578,68.0327868852459,0.11788428934063816
ParadigmScoreBool,893,663,50,72,-5.3024885161616595,9.795918367346939,59.01639344262295,0.08586537119027313
