name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,10,960,0,97,-9.886597938144332,9.176915799432356,100.0,0.03075831259604325
IsNested,969,1,97,0,-0.11134020618556728,0.0,0.0,-0.009685485552825746
HasNestedMethods,881,89,56,41,-0.6443298969072169,31.538461538461537,42.2680412371134,0.29084631172875397
HasFunctions,689,281,51,46,-2.7649484536082483,14.067278287461773,47.42268041237113,0.11507031309931023
IsFunction,30,940,4,93,-9.70515463917526,9.002904162633108,95.87628865979381,-0.016873702224919122
HasFunctionParameters,862,108,72,25,-1.0412371134020626,18.796992481203006,25.773195876288657,0.12740576672882278
HasHigherOrderCalls,729,241,49,48,-2.2886597938144337,16.608996539792386,49.48453608247423,0.1593893065179733
HasFunctionCalls,142,828,19,78,-8.605154639175261,8.609271523178808,80.41237113402062,-0.03974332521493775
HasCurrying,19,951,1,96,-9.795876288659796,9.169054441260744,98.96907216494846,0.019667726971886908
HasPatternMatching,780,190,36,61,-1.562886597938145,24.302788844621514,62.88659793814433,0.2934724585028301
HasLazyValues,928,42,82,15,-0.4061855670103096,26.31578947368421,15.463917525773196,0.14233956713095125
HasMultipleParameterLists,782,188,55,42,-1.7556701030927844,18.26086956521739,43.29896907216495,0.16720965002490543
FunctionalScoreBool,721,249,44,53,-2.322680412371135,17.549668874172188,54.63917525773196,0.1848724219707075
HasVariables,934,36,87,10,-0.39484536082474264,21.73913043478261,10.309278350515463,0.09338737908343618
HasVariableDefinitions,950,20,86,11,-0.20206185567010349,35.483870967741936,11.34020618556701,0.15881144041966996
HasInnerVariableAssignment,943,27,85,12,-0.2701030927835055,30.76923076923077,12.371134020618557,0.1468770995443052
HasOuterVariableUsage,18,952,0,97,-9.795876288659796,9.246901811248808,100.0,0.04142366381353649
HasOuterVariableAssignment,8,962,0,97,-9.909278350515466,9.159584513692161,100.0,0.027485080509501634
HasSideEffects,883,87,88,9,-0.9845360824742273,9.375,9.278350515463918,0.003107248759058311
IsSideEffect,26,944,3,94,-9.739175257731961,9.05587668593449,96.90721649484536,-0.007290583957696596
HasSideEffectCalls,899,71,83,14,-0.74639175257732,16.470588235294116,14.432989690721648,0.07552380878281614
HasSideEffectFunctions,965,5,95,2,-0.13402061855670122,28.57142857142857,2.0618556701030926,0.055066732366076426
ImperativeScoreBool,883,87,84,13,-0.9391752577319592,13.0,13.402061855670103,0.04372755739932984
HasPointsBool,626,344,38,59,-3.3319587628865994,14.640198511166252,60.824742268041234,0.15038293074769118
ParadigmScoreBool,593,377,39,58,-3.7175257731958773,13.333333333333334,59.79381443298969,0.12243141539977902
