name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,5362,113,437,73,-0.17888799355358587,39.247311827956985,14.313725490196077,0.19709384863721102
IsNested,548,4927,51,459,-9.670008058017729,8.522094318603788,90.0,8.496037974520456e-05
HasNestedMethods,5076,399,367,143,-0.6418694601128123,26.383763837638373,28.03921568627451,0.20188719052484927
HasFunctions,3131,2344,203,307,-4.459323126510879,11.580535646925687,60.19607843137255,0.09770606876345685
IsFunction,169,5306,47,463,-10.47379532634972,8.025654359507714,90.7843137254902,-0.09174545193439002
HasFunctionParameters,4288,1187,309,201,-2.2065753424657535,14.481268011527376,39.411764705882355,0.11729734376607485
HasHigherOrderCalls,3426,2049,216,294,-3.8548751007252218,12.548015364916774,57.647058823529406,0.11567879578364063
HasFunctionCalls,4331,1144,279,231,-2.0501047542304596,16.8,45.294117647058826,0.16193840801837583
HasCurrying,5338,137,398,112,-0.14673650282030626,44.97991967871486,21.96078431372549,0.2720710236401679
HasPatternMatching,4633,842,306,204,-1.4606607574536667,19.50286806883365,40.0,0.18100791387720452
HasLazyValues,5344,131,415,95,-0.17031426269137806,42.0353982300885,18.627450980392158,0.23779087297939014
HasMultipleParameterLists,1979,3496,183,327,-6.885688960515714,8.553492021972273,64.11764705882354,0.0015330827870558286
FunctionalScoreBool,3156,2319,206,304,-4.412167606768735,11.589782691574534,59.6078431372549,0.09707569588045671
HasVariables,5203,272,442,68,-0.5304109589041097,20.0,13.333333333333334,0.10089904893688413
HasVariableDefinitions,5275,200,451,59,-0.3953746978243353,22.779922779922778,11.568627450980392,0.10861472214873014
HasInnerVariableAssignment,5276,199,454,56,-0.3996615632554392,21.96078431372549,10.980392156862745,0.10154587440145083
HasOuterVariableUsage,5350,125,489,21,-0.31606768734891233,14.383561643835616,4.117647058823529,0.03320161060324711
HasOuterVariableAssignment,5397,78,492,18,-0.22175664786462534,18.75,3.5294117647058822,0.04677589944610217
HasSideEffects,4558,917,329,181,-1.67071716357776,16.484517304189435,35.490196078431374,0.13519337030137948
IsSideEffect,4094,1381,377,133,-2.768154713940371,8.784676354029063,26.078431372549023,0.005489325911020609
HasSideEffectCalls,4924,551,396,114,-1.02983078162772,17.142857142857142,22.35294117647059,0.10917609547297251
HasSideEffectFunctions,5372,103,391,119,-0.05885576148267524,53.6036036036036,23.333333333333332,0.316916791469491
ImperativeScoreBool,4613,862,368,142,-1.6364222401289283,14.143426294820719,27.84313725490196,0.09040572558206744
HasPointsBool,2072,3403,184,326,-6.688493150684932,8.742290158219362,63.921568627450974,0.010176072179262323
ParadigmScoreBool,2989,2486,285,225,-4.939452054794521,8.299520472150498,44.11764705882353,-0.007228368104507872
