name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,10,960,0,97,-9.886597938144332,9.176915799432356,100.0,0.03075831259604325
IsNested,873,97,88,9,-1.0979381443298974,8.49056603773585,9.278350515463918,-0.006935590028770417
HasNestedMethods,872,98,51,46,-0.689690721649485,31.944444444444443,47.42268041237113,0.3139977050964329
HasFunctions,645,325,32,65,-3.0484536082474234,16.666666666666664,67.0103092783505,0.2000123088285189
IsFunction,847,123,87,10,-1.3814432989690726,7.518796992481203,10.309278350515463,-0.020636145315231856
HasFunctionParameters,856,114,71,26,-1.0979381443298974,18.571428571428573,26.804123711340207,0.12815895893309934
HasHigherOrderCalls,701,269,37,60,-2.470103092783506,18.237082066869302,61.855670103092784,0.21242315940687798
HasFunctionCalls,901,69,86,11,-0.757731958762887,13.750000000000002,11.34020618556701,0.04614028650215023
HasCurrying,19,951,1,96,-9.795876288659796,9.169054441260744,98.96907216494846,0.019667726971886908
HasPatternMatching,731,239,19,78,-1.9257731958762894,24.605678233438486,80.41237113402062,0.3508625394029072
HasLazyValues,928,42,82,15,-0.4061855670103096,26.31578947368421,15.463917525773196,0.14233956713095125
HasMultipleParameterLists,757,213,45,52,-1.9257731958762894,19.622641509433965,53.608247422680414,0.21058539822796601
FunctionalScoreBool,747,223,35,62,-1.9257731958762894,21.75438596491228,63.91752577319587,0.2659283875411195
HasVariables,934,36,86,11,-0.38350515463917567,23.404255319148938,11.34020618556701,0.10687661857408581
HasVariableDefinitions,950,20,86,11,-0.20206185567010349,35.483870967741936,11.34020618556701,0.15881144041966996
HasInnerVariableAssignment,943,27,85,12,-0.2701030927835055,30.76923076923077,12.371134020618557,0.1468770995443052
HasOuterVariableUsage,18,952,0,97,-9.795876288659796,9.246901811248808,100.0,0.04142366381353649
HasOuterVariableAssignment,8,962,0,97,-9.909278350515466,9.159584513692161,100.0,0.027485080509501634
HasSideEffects,879,91,85,12,-0.9958762886597943,11.650485436893204,12.371134020618557,0.029103208360887506
IsSideEffect,760,210,81,16,-2.3000000000000007,7.079646017699115,16.49484536082474,-0.036267513957902696
HasSideEffectCalls,896,74,81,16,-0.757731958762887,17.77777777777778,16.49484536082474,0.0917127919683077
HasSideEffectFunctions,965,5,95,2,-0.13402061855670122,28.57142857142857,2.0618556701030926,0.055066732366076426
ImperativeScoreBool,875,95,80,17,-0.9845360824742273,15.178571428571427,17.525773195876287,0.07251879286002934
HasPointsBool,448,522,6,91,-4.987628865979383,14.845024469820556,93.81443298969072,0.2325806403528622
ParadigmScoreBool,503,467,12,85,-4.431958762886599,15.39855072463768,87.62886597938144,0.22715673645800077
