name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,3677,78,661,47,-0.2405895717198161,37.6,6.638418079096045,0.10099497488865677
IsNested,3755,0,708,0,-0.1885486018641811,0.0,0.0,0.0
HasNestedMethods,3441,314,494,214,-0.35642269817268124,40.53030303030303,30.225988700564972,0.24731930312661576
HasFunctions,3345,410,452,256,-0.44707471017927136,38.43843843843844,36.15819209039548,0.25878762654428544
IsFunction,3504,251,607,101,-0.4403597463269313,28.693181818181817,14.26553672316384,0.10275658640413117
HasFunctionParameters,3539,216,611,97,-0.3883187764712963,30.990415335463258,13.700564971751412,0.11370932136097855
HasHigherOrderCalls,3047,708,331,377,-0.7442118606453167,34.74654377880184,53.24858757062147,0.29292480695807993
HasFunctionCalls,3489,266,557,151,-0.38160381261895626,36.21103117505996,21.32768361581921,0.17879952537400728
HasCurrying,3703,52,643,65,-0.166724969344076,55.55555555555556,9.180790960451978,0.17826004303115364
HasPatternMatching,3026,729,315,393,-0.7526055654607418,35.02673796791444,55.50847457627118,0.30396688966302393
HasLazyValues,3659,96,635,73,-0.22715964401513622,43.19526627218935,10.310734463276836,0.14841611090256798
HasMultipleParameterLists,3564,191,621,87,-0.3631376620250213,31.294964028776977,12.288135593220339,0.1088628051440314
FunctionalScoreBool,3141,614,341,367,-0.6031976197461766,37.410805300713555,51.836158192090394,0.31304945762109443
HasVariables,3170,585,443,265,-0.7257457100513816,31.176470588235293,37.429378531073446,0.20329776080432638
HasVariableDefinitions,3552,203,596,112,-0.3413140295049162,35.55555555555556,15.819209039548024,0.1485341499831345
HasInnerVariableAssignment,3563,192,632,76,-0.3832825535820412,28.35820895522388,10.734463276836157,0.08644174078005769
HasOuterVariableUsage,3255,500,465,243,-0.6199850293770266,32.70524899057873,34.32203389830508,0.20601957359167455
HasOuterVariableAssignment,3380,375,494,214,-0.4588258969208663,36.33276740237691,30.225988700564972,0.2184639207402573
HasSideEffects,2957,798,395,313,-1.0027379689604068,28.172817281728175,44.2090395480226,0.1939701024974358
IsSideEffect,3137,618,459,249,-0.8080040172425467,28.719723183391004,35.16949152542373,0.17278630540793025
HasSideEffectCalls,3134,621,424,284,-0.7542843064238267,31.38121546961326,40.11299435028249,0.21421351497696128
HasSideEffectFunctions,3540,215,535,173,-0.2590557223137513,44.58762886597938,24.43502824858757,0.2426052229688651
ImperativeScoreBool,3125,630,412,296,-0.7492480835345716,31.96544276457883,41.80790960451977,0.22550920828755258
HasPointsBool,3018,737,363,345,-0.8466150593935018,31.88539741219963,48.728813559322035,0.24808642090274594
ParadigmScoreBool,1116,2639,268,440,-3.8800999796881,14.290354011042547,62.14689265536724,-0.06423700810171831
