name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,658,10,54,5,-0.18055414594539743,33.33333333333333,8.47457627118644,0.13403950965514813
IsNested,668,0,59,0,-0.08832335329341334,0.0,0.0,0.0
HasNestedMethods,586,82,33,26,-1.1213082309956364,24.074074074074073,44.06779661016949,0.24410666178683732
HasFunctions,564,104,33,26,-1.5271237186643667,20.0,44.06779661016949,0.20308788463724148
IsFunction,629,39,48,11,-0.6048157921445247,22.0,18.64406779661017,0.13817826369220493
HasFunctionParameters,589,79,42,17,-1.231985182178017,17.708333333333336,28.8135593220339,0.13702065780814723
HasHigherOrderCalls,584,84,33,26,-1.15820054805643,23.636363636363637,44.06779661016949,0.23998749095920288
HasFunctionCalls,607,61,44,15,-0.9368466456916678,19.736842105263158,25.423728813559322,0.14540895134788995
HasCurrying,651,17,53,6,-0.2912310971277785,26.08695652173913,10.16949152542373,0.11895425782456714
HasPatternMatching,553,115,33,26,-1.7300314624987316,18.439716312056735,44.06779661016949,0.1854539956451679
HasLazyValues,597,71,54,5,-1.3057698162996045,6.578947368421052,8.47457627118644,-0.01922631984026765
HasMultipleParameterLists,528,140,37,22,-2.26497005988024,13.580246913580247,37.28813559322034,0.10715688174374388
FunctionalScoreBool,593,75,35,24,-1.029077438343652,24.242424242424242,40.67796610169492,0.2344813620808181
HasVariables,623,45,42,17,-0.6048157921445247,27.419354838709676,28.8135593220339,0.21584811692742195
HasVariableDefinitions,652,16,44,15,-0.10676951182381011,48.38709677419355,25.423728813559322,0.31123955337159726
HasInnerVariableAssignment,634,34,40,19,-0.3650157312493658,35.84905660377358,32.20338983050847,0.28479545206757256
HasOuterVariableUsage,631,37,51,8,-0.6232619506749215,17.77777777777778,13.559322033898304,0.09088910242378193
HasOuterVariableAssignment,20,648,1,58,-10.971556886227546,8.21529745042493,98.30508474576271,0.02118086665078013
HasSideEffects,525,143,26,33,-2.117400791637065,18.75,55.932203389830505,0.22009795854319988
IsSideEffect,618,50,47,12,-0.7892773774484931,19.35483870967742,20.33898305084746,0.1256736651366877
HasSideEffectCalls,577,91,33,26,-1.2873236577692078,22.22222222222222,44.06779661016949,0.22624186276253166
HasSideEffectFunctions,650,18,52,7,-0.2912310971277785,28.000000000000004,11.864406779661017,0.13741538240323206
ImperativeScoreBool,591,77,36,23,-1.0844159139348424,23.0,38.983050847457626,0.21768043145244168
HasPointsBool,575,93,30,29,-1.268877499238811,23.770491803278688,49.152542372881356,0.2574388248858105
ParadigmScoreBool,607,61,36,23,-0.7892773774484931,27.380952380952383,38.983050847457626,0.254995528543703
